Date,Value,Anomaly_Label,Anomaly_Severity,Branch,Aggregation
2019-04-01,2667.0,1,0.04549482409725314,BLR,monthly
2019-05-01,2446.5,1,0.022656784908990604,BLR,monthly
2019-06-01,1103.0,1,0.11649471463491284,BLR,monthly
2019-07-01,1222.5,1,0.10411763670748711,BLR,monthly
2019-08-01,1017.0,1,0.12540206778770457,BLR,monthly
2019-09-01,2227.0,1,7.76804054022535e-05,BLR,monthly
2019-10-01,1413.0,1,0.08438681373531473,BLR,monthly
2019-11-01,1908.5,1,0.03306595923289258,BLR,monthly
2019-12-01,2610.5,1,0.0396429002236167,BLR,monthly
2020-01-01,1919.5,1,0.03192664662032619,BLR,monthly
2020-02-01,3508.5,1,0.13265223895858155,BLR,monthly
2020-03-01,856.5,1,0.1420256745437868,BLR,monthly
2020-04-01,856.5,1,0.1420256745437868,BLR,monthly
2020-05-01,1011.5,1,0.12597172409398777,BLR,monthly
2020-06-01,764.5,1,0.15155447093979657,BLR,monthly
2020-07-01,658.0,1,0.1625850885069166,BLR,monthly
2020-08-01,852.0,1,0.14249175697620034,BLR,monthly
2020-09-01,1608.5,1,0.06413812139379398,BLR,monthly
2020-10-01,1240.0,1,0.10230509391476786,BLR,monthly
2020-11-01,1428.0,1,0.08283320562726965,BLR,monthly
2020-12-01,3109.0,1,0.09127447634764786,BLR,monthly
2021-01-01,1392.0,1,0.08656186508657782,BLR,monthly
2021-02-01,2511.5,1,0.029389086710519242,BLR,monthly
2021-03-01,2248.5,1,0.0021491578827956804,BLR,monthly
2021-04-01,2494.0,1,0.027576543917799998,BLR,monthly
2021-05-01,375.0,1,0.19189649481203358,BLR,monthly
2021-06-01,615.0,1,0.16703876508331245,BLR,monthly
2021-07-01,1007.0,1,0.1264378065264013,BLR,monthly
2021-08-01,1032.5,1,0.12379667274272468,BLR,monthly
2021-09-01,2120.5,1,0.011108297972522252,BLR,monthly
2021-10-01,1308.5,1,0.09521028355469538,BLR,monthly
2021-11-01,1646.0,1,0.060254101123681306,BLR,monthly
2021-12-01,3417.5,1,0.12322701643644147,BLR,monthly
2022-01-01,1889.5,1,0.03503386283641634,BLR,monthly
2022-02-01,3608.0,1,0.14295783940861384,BLR,monthly
2022-03-01,5763.0,1,0.36615953759775566,BLR,monthly
2022-04-01,2541.0,1,0.032444515989674544,BLR,monthly
2022-05-01,2781.5,1,0.057354032655330504,BLR,monthly
2022-06-01,1688.0,1,0.055903998421155114,BLR,monthly
2022-07-01,1445.5,1,0.08102066283455041,BLR,monthly
2022-08-01,1038.5,1,0.12317522949950664,BLR,monthly
2022-09-01,2009.0,1,0.022656784908990604,BLR,monthly
2022-10-01,1541.5,1,0.07107757094306195,BLR,monthly
2022-11-01,2011.5,1,0.022397850224316427,BLR,monthly
2022-12-01,3494.5,1,0.13120220472440616,BLR,monthly
2023-01-01,3176.0,1,0.09821392589691585,BLR,monthly
2023-02-01,3838.5,1,0.16683161733557314,BLR,monthly
2023-03-01,4113.5,1,0.19531443264973272,BLR,monthly
2023-04-01,3119.0,1,0.09231021508634459,BLR,monthly
2023-05-01,2624.0,1,0.04104114752085727,BLR,monthly
2023-06-01,1880.5,1,0.035966027701243374,BLR,monthly
2023-07-01,1309.5,1,0.09510670968082571,BLR,monthly
2023-08-01,2268.0,1,0.004168848423254271,BLR,monthly
2023-09-01,2841.0,1,0.06351667815057595,BLR,monthly
2023-10-01,2246.0,1,0.0018902231981215022,BLR,monthly
2023-11-01,2646.5,1,0.04337155968292487,BLR,monthly
2023-12-01,3284.0,1,0.10939990427484035,BLR,monthly
2024-01-01,4349.0,1,0.21970607994604033,BLR,monthly
2024-02-01,4038.0,1,0.18749460517257255,BLR,monthly
2024-03-01,7524.5,1,0.4,BLR,monthly
