Date,Value,Anomaly_Label,Anomaly_Severity,Branch,Aggregation
2019-04-01,1756.0,1,0.017383533652864484,COK,monthly
2019-05-01,1349.0,1,0.050431870889372926,COK,monthly
2019-06-01,712.0,1,0.10215617265756916,COK,monthly
2019-07-01,1126.5,1,0.06849883657763614,COK,monthly
2019-08-01,1430.0,1,0.04385468338038721,COK,monthly
2019-09-01,1629.5,1,0.02765531414529278,COK,monthly
2019-10-01,610.5,1,0.11039795700524879,COK,monthly
2019-11-01,1006.5,1,0.07824281807242978,COK,monthly
2019-12-01,1974.5,1,0.0003586326522389388,COK,monthly
2020-01-01,1168.5,1,0.06508844305445836,COK,monthly
2020-02-01,3053.5,1,0.08797326625959179,COK,monthly
2020-03-01,1485.0,1,0.03938869186194013,COK,monthly
2020-04-01,1485.0,1,0.03938869186194013,COK,monthly
2020-05-01,709.0,1,0.10239977219493901,COK,monthly
2020-06-01,715.0,1,0.10191257312019933,COK,monthly
2020-07-01,514.5,1,0.1181931422010837,COK,monthly
2020-08-01,965.5,1,0.0815720117498176,COK,monthly
2020-09-01,1164.5,1,0.06541324243761815,COK,monthly
2020-10-01,817.5,1,0.09358958892672975,COK,monthly
2020-11-01,1451.5,1,0.042108886695903354,COK,monthly
2020-12-01,2644.5,1,0.05476252933150344,COK,monthly
2021-01-01,1303.0,1,0.054167063795710485,COK,monthly
2021-02-01,1763.5,1,0.01677453480943988,COK,monthly
2021-03-01,2789.0,1,0.06649590704815078,COK,monthly
2021-04-01,2984.0,1,0.08232987697719045,COK,monthly
2021-05-01,22.0,1,0.1581840662526326,COK,monthly
2021-06-01,713.5,1,0.10203437288888424,COK,monthly
2021-07-01,651.0,1,0.10710936325075593,COK,monthly
2021-08-01,833.0,1,0.09233099131698558,COK,monthly
2021-09-01,1123.5,1,0.06874243611500597,COK,monthly
2021-10-01,1124.0,1,0.068701836192111,COK,monthly
2021-11-01,1151.5,1,0.06646884043288746,COK,monthly
2021-12-01,3087.5,1,0.09073406101644999,COK,monthly
2022-01-01,1166.0,1,0.06529144266893322,COK,monthly
2022-02-01,2843.0,1,0.07088069872080792,COK,monthly
2022-03-01,4308.0,1,0.1898384728030803,COK,monthly
2022-04-01,1425.0,1,0.04426068260933695,COK,monthly
2022-05-01,1064.0,1,0.07357382693950783,COK,monthly
2022-06-01,1610.5,1,0.029198111215301775,COK,monthly
2022-07-01,1062.0,1,0.07373622663108771,COK,monthly
2022-08-01,1589.0,1,0.030943907899785635,COK,monthly
2022-09-01,1410.5,1,0.04543808037329118,COK,monthly
2022-10-01,829.5,1,0.09261519077725039,COK,monthly
2022-11-01,1357.0,1,0.04978227212305335,COK,monthly
2022-12-01,3266.0,1,0.10522823348995552,COK,monthly
2023-01-01,1763.0,1,0.016815134732334855,COK,monthly
2023-02-01,1425.0,1,0.04426068260933695,COK,monthly
2023-03-01,4133.0,1,0.1756284997898396,COK,monthly
2023-04-01,3579.0,1,0.13064378522220893,COK,monthly
2023-05-01,2365.0,1,0.03206717243321325,COK,monthly
2023-06-01,1062.5,1,0.07369562670819274,COK,monthly
2023-07-01,2035.5,1,0.005311823245425707,COK,monthly
2023-08-01,3915.0,1,0.15792693340763114,COK,monthly
2023-09-01,2678.5,1,0.05752332408836164,COK,monthly
2023-10-01,1323.5,1,0.052502466957016575,COK,monthly
2023-11-01,2373.5,1,0.0327573711224278,COK,monthly
2023-12-01,5437.0,1,0.2815130986999305,COK,monthly
2024-01-01,2475.5,1,0.04103975539300239,COK,monthly
2024-02-01,5496.0,1,0.28630388960153735,COK,monthly
2024-03-01,10898.5,1,0.4,COK,monthly
