model,rmse,mae,mape,r2
catboost,2464.0677998897086,2167.456052063649,188.7049266814652,-0.8038473755544234
lightgbm,2808.6004729596334,2523.446225316545,257.7450700830903,-1.0819186720190943
random_forest,3171.2017885921164,2913.3736590918356,263.9786230953966,-2.7765967193400622
xgboost,3671.393594435615,3381.168806395623,330.7839802136168,-3.968697105387139
ensemble,4302.042652895415,3963.93115231622,430.96105589209924,-4.81110536008144
prophet,5092.013744551693,3651.1270485525997,230.9791809738982,-4.644076376567569
holt_winters,6420.760781566794,5750.199529126091,719.0007683232137,-12.844219850675175
sarimax,7027.213827778955,6808.669162621437,662.145187176643,-23.67561855509206
quantile_regression,9585.27404925219,8103.834215167375,881.2611336164595,-28.548349837808843
