rmse,mae,mape,nrmse,r2,forecast_date,n_periods
23366.466815187654,17459.958636363637,45.352073945922946,60.05961654525287,-0.04040146126197186,2024-04-01,11
23643.497549331772,17267.0815,47.11943637842186,63.02730925818387,-0.005525167936650588,2024-05-01,10
24430.12649995283,17775.809444444447,45.216142225899006,61.85329322691392,-0.03193594276846867,2024-06-01,9
25572.283890737115,18274.719375,37.24465366172128,59.85601172842993,-0.17407306080306495,2024-07-01,8
27176.535134967075,19911.937142857143,39.115062606067276,59.629983024875486,-0.2923920111481422,2024-08-01,7
28899.3313252817,22928.27333333333,45.56859485748965,60.02166505186774,-0.3462304365333604,2024-09-01,6
30849.433417215787,25271.626,46.397265421609085,58.1963761332293,-0.5791047341280553,2024-10-01,5
34199.36423308051,28263.42875,39.743054172733935,55.41499511152963,-2.124010309187038,2024-11-01,4
33287.14073444616,26076.228333333333,37.063134250334315,56.17229574317177,-1.3324168506393144,2024-12-01,3
40252.514153057105,36652.0175,48.899528393583836,56.79527345118325,-4.261756803670922,2025-01-01,2
54872.7,54872.7,62.05844765383789,62.05844765383789,,2025-02-01,1
