rmse,mae,mape,nrmse,r2,forecast_date,n_periods
9559.142628680389,8322.136363636377,83.6325738825245,74.89250075888111,-0.971259281029901,2024-04-01,11
10198.25059875466,8308.350000000011,87.38018691945472,85.24969571299913,-1.3673780179236785,2024-05-01,10
5726.016343555692,4712.777777777778,52.00459553570317,45.67415323229747,0.27972399270715,2024-06-01,9
8417.456372399545,7163.312499999982,60.605665074239454,62.928960161478344,-0.5791470384421518,2024-07-01,8
10458.626352373945,8295.357142857134,73.84653538753348,73.89091983832863,-1.3555865370711477,2024-08-01,7
4087.0671840167397,3453.6666666666483,34.96575944008596,27.566270716630815,0.6725445676441613,2024-09-01,6
8297.50309129195,7534.499999999959,49.083047909486886,51.16988018508073,-0.3871280286784853,2024-10-01,5
10825.725965841682,8940.624999999975,42.76009941041663,57.69105230930819,-2.966685190993266,2024-11-01,4
2443.1312899637524,2204.9999999999945,14.596444103102343,15.257174108310451,0.34404399187562884,2024-12-01,3
5812.449967526549,5733.749999999943,32.995118018011404,33.4606526252176,-3.1623017029737914,2025-01-01,2
10478.499999999933,10478.499999999933,51.822453016814706,51.822453016814706,,2025-02-01,1
