rmse,mae,mape,nrmse,r2,forecast_date,n_periods
27200.359156592403,23659.07802099818,111.02660948506026,80.1096756384168,-1.4054868380480743,2024-04-01,10
30399.226515050454,29156.698389246685,137.99676650820294,104.202845992846,-2.42048536196283,2024-05-01,8
31122.382778120682,29908.78759537714,145.59319571217236,105.08697299795948,-1.8732881579759044,2024-06-01,6
31306.300133722936,31014.431391898022,138.213260619544,131.92153779327856,-52.881956949591796,2024-07-01,4
27932.829660082967,27754.93139190243,105.62858403847474,103.4913382860005,-77.75867268049628,2024-08-01,2
