model,rmse,mae,mape,r2
prophet,4872.339668582283,3579.861585025121,482.13634973466566,-8.284090630159483
ensemble,4979.87658122456,4187.730335911593,923.1757257619005,-5.834593330335694
xgboost,4990.015366096278,4798.129525320871,1372.1298811331917,-5.515197966547187
