rmse,mae,mape,nrmse,r2,mean_error,mape_alt,n_samples,series,model
10761.327811896896,9887.839564732143,44.07021722123724,42.23677862813472,-0.4928908893751851,5714.980189732143,44.07021722123704,7,monthly_combined_combined,xgboost
24680.351625066516,17112.660141713848,57.908606723271205,96.86709356628293,-6.852338830474837,17112.660141713848,57.90860672327099,7,monthly_combined_combined,prophet
20073.182672290954,15063.835856191377,53.74047693202988,78.78456894086722,-4.194321411588751,15063.835856191377,53.74047693202966,7,monthly_combined_combined,ensemble
4831.786560012366,4532.975446428572,49.404425386440685,48.28199897231566,-0.08005099709360008,2246.6565290178573,49.40442538644008,7,monthly_branch_wise_MAA,xgboost
7454.214535381585,5117.507582360676,42.34288731134463,74.48681229325516,-1.5705884674949644,5117.507582360676,42.34288731134422,7,monthly_branch_wise_MAA,prophet
5229.160365878414,4323.948947522181,41.28553471963633,52.25278730250229,-0.2650063364109907,4323.948947522181,41.28553471963588,7,monthly_branch_wise_MAA,ensemble
3367.150346055199,2976.0584542410716,93.0121435945652,82.01417036913739,-4.236227024292651,2976.0584542410716,93.01214359456189,7,monthly_branch_wise_SBD1,xgboost
6870.660404458272,4640.853046116021,94.0624374208147,167.34967407080242,-20.80170291595127,4640.853046116021,94.06243742081261,7,monthly_branch_wise_SBD1,prophet
5292.245406814923,4106.501282829695,93.7253229438911,128.90399056231763,-11.935207511388633,4106.501282829695,93.7253229438886,7,monthly_branch_wise_SBD1,ensemble
1888.5690640968533,1537.8905203683037,30.577336198050958,42.83440834876057,-0.35463041266939643,-1268.5524204799108,30.577336198050258,7,monthly_branch_wise_COK,xgboost
3132.244765352701,1702.0267428166087,34.52053919607913,71.04206771042642,-2.726202587684221,1668.8270705422226,34.52053919607833,7,monthly_branch_wise_COK,prophet
2255.5246277843576,1348.960309790848,28.11972523398759,51.15728346074751,-0.9321917605184744,1035.6311392582927,28.119725233986927,7,monthly_branch_wise_COK,ensemble
1737.900306393477,1469.1256277901787,65.21842244177148,68.68007759698718,-10.716377299000913,1469.1256277901787,65.21842244176848,7,monthly_branch_wise_BLR,xgboost
1327.8872233285588,1020.9557063778141,38.992689262372465,52.47677165528093,-5.840156110305362,1020.9557063778141,38.992689262370924,7,monthly_branch_wise_BLR,prophet
1334.2450053598448,1105.438175336679,43.93638267729365,52.72802482650546,-5.905812785542293,1105.438175336679,43.93638267729183,7,monthly_branch_wise_BLR,ensemble
6874.4312617317855,6754.645647321428,172.82720935533877,155.31426534590744,-17.21101117685137,6754.645647321428,172.82720935533385,7,monthly_branch_wise_SBD,xgboost
5788.854706093363,4150.473037610091,83.11415087593254,130.78779634849286,-11.913554869046248,4150.473037610091,83.11415087593063,7,monthly_branch_wise_SBD,prophet
5757.7199934286555,4487.6385561307625,94.7294139224313,130.08436869896585,-11.775020176565024,4487.6385561307625,94.72941392242903,7,monthly_branch_wise_SBD,ensemble
13184.2607421875,13184.2607421875,1788.909191612958,1788.909191612958,,13184.2607421875,1788.909191612715,1,weekly_combined_combined,xgboost
4626.817711533287,4626.817711533287,627.7907342650323,627.7907342650323,,4626.817711533287,627.790734264947,1,weekly_combined_combined,prophet
8905.539226860394,8905.539226860394,1208.349962938995,1208.349962938995,,8905.539226860394,1208.349962938831,1,weekly_combined_combined,ensemble
8703.189453125,8703.189453125,3596.359278150826,3596.359278150826,,8703.189453125,3596.3592781493403,1,weekly_branch_wise_MAA,xgboost
1354.4265131722648,1354.4265131722648,559.680377343911,559.680377343911,,1354.4265131722648,559.6803773436799,1,weekly_branch_wise_MAA,prophet
5028.807983148632,5028.807983148632,2078.0198277473687,2078.0198277473687,,5028.807983148632,2078.01982774651,1,weekly_branch_wise_MAA,ensemble
3998.0908203125,3998.0908203125,4208.516652960526,4208.516652960526,,3998.0908203125,4208.516652956097,1,weekly_branch_wise_SBD,xgboost
935.0644031059437,935.0644031059437,984.2783190588881,984.2783190588881,,935.0644031059437,984.2783190578521,1,weekly_branch_wise_SBD,prophet
2466.577611709222,2466.577611709222,2596.3974860097073,2596.3974860097073,,2466.577611709222,2596.397486006974,1,weekly_branch_wise_SBD,ensemble
2041.770751953125,2041.770751953125,4537.268337673611,4537.268337673611,,2041.770751953125,4537.268337663528,1,weekly_branch_wise_SBD1,xgboost
1125.560982930402,1125.560982930402,2501.2466287342263,2501.2466287342263,,1125.560982930402,2501.246628728668,1,weekly_branch_wise_SBD1,prophet
1583.6658674417636,1583.6658674417636,3519.257483203919,3519.257483203919,,1583.6658674417636,3519.2574831960983,1,weekly_branch_wise_SBD1,ensemble
893.693359375,893.693359375,357.47734375000005,357.47734375000005,,893.693359375,357.477343749857,1,weekly_branch_wise_COK,xgboost
641.7403182916785,641.7403182916785,256.6961273166714,256.6961273166714,,641.7403182916785,256.6961273165687,1,weekly_branch_wise_COK,prophet
767.7168388333392,767.7168388333392,307.0867355333357,307.0867355333357,,767.7168388333392,307.0867355332129,1,weekly_branch_wise_COK,ensemble
1598.013916015625,1598.013916015625,1521.9180152529764,1521.9180152529764,,1598.013916015625,1521.9180152515269,1,weekly_branch_wise_BLR,xgboost
530.2528342728173,530.2528342728173,505.002699307445,505.002699307445,,530.2528342728173,505.0026993069641,1,weekly_branch_wise_BLR,prophet
1064.1333751442212,1064.1333751442212,1013.4603572802107,1013.4603572802107,,1064.1333751442212,1013.4603572792454,1,weekly_branch_wise_BLR,ensemble
