Branch,Date,Forecast Quantity
SBD1,2024-04-01,10339.7
SBD1,2024-05-01,7590.6
SBD1,2024-06-01,5381.0
SBD1,2024-07-01,1662.5
SBD1,2024-08-01,3189.8
SBD1,2024-09-01,4298.9
SBD1,2024-10-01,5226.2
SBD1,2024-11-01,2389.5
SBD1,2024-12-01,7288.0
SBD1,2025-01-01,4199.2
SBD1,2025-02-01,8373.8
SBD1,2025-03-01,15872.3
