Branch,Date,Forecast Quantity
SBD,2024-04-01,12731.0
SBD,2024-05-01,8278.4
SBD,2024-06-01,5566.5
SBD,2024-07-01,2689.7
SBD,2024-08-01,4740.8
SBD,2024-09-01,5150.6
SBD,2024-10-01,5871.1
SBD,2024-11-01,5371.7
SBD,2024-12-01,28605.3
SBD,2025-01-01,8921.6
SBD,2025-02-01,18275.7
SBD,2025-03-01,22055.5
