Branch,Date,Forecast Quantity
MAA,2024-04-01,24621.3
MAA,2024-05-01,14356.7
MAA,2024-06-01,8156.1
MAA,2024-07-01,6060.4
MAA,2024-08-01,7324.1
MAA,2024-09-01,9249.0
MAA,2024-10-01,6601.1
MAA,2024-11-01,6389.9
MAA,2024-12-01,23740.0
MAA,2025-01-01,9398.1
MAA,2025-02-01,15506.1
MAA,2025-03-01,24363.8
