Date,Forecast
2025-04-07,823.9409048760633
2025-04-14,821.9600009027795
2025-04-21,821.9476829981538
2025-04-28,821.94760640142
2025-05-05,821.9476059251166
2025-05-12,821.9476059221548
2025-05-19,821.9476059221364
2025-05-26,821.9476059221363
2025-06-02,821.9476059221363
2025-06-09,821.9476059221363
2025-06-16,821.9476059221363
2025-06-23,821.9476059221363
2025-06-30,821.9476059221363
2025-07-07,821.9476059221363
2025-07-14,821.9476059221363
2025-07-21,821.9476059221363
2025-07-28,821.9476059221363
2025-08-04,821.9476059221363
2025-08-11,821.9476059221363
2025-08-18,821.9476059221363
2025-08-25,821.9476059221363
2025-09-01,821.9476059221363
2025-09-08,821.9476059221363
2025-09-15,821.9476059221363
2025-09-22,821.9476059221363
2025-09-29,821.9476059221363
2025-10-06,821.9476059221363
2025-10-13,821.9476059221363
2025-10-20,821.9476059221363
2025-10-27,821.9476059221363
2025-11-03,821.9476059221363
2025-11-10,821.9476059221363
2025-11-17,821.9476059221363
2025-11-24,821.9476059221363
2025-12-01,821.9476059221363
2025-12-08,821.9476059221363
2025-12-15,821.9476059221363
2025-12-22,821.9476059221363
2025-12-29,821.9476059221363
2026-01-05,821.9476059221363
2026-01-12,821.9476059221363
2026-01-19,821.9476059221363
2026-01-26,821.9476059221363
2026-02-02,821.9476059221363
2026-02-09,821.9476059221363
2026-02-16,821.9476059221363
2026-02-23,821.9476059221363
2026-03-02,821.9476059221363
2026-03-09,821.9476059221363
2026-03-16,821.9476059221363
2026-03-23,821.9476059221363
2026-03-30,821.9476059221363
