rmse,mae,mape,nrmse,r2,forecast_date,n_periods
8108.053582706969,5906.965458571178,80.71338981919894,78.16772224978014,-0.06118499631538188,2024-04-01,11
8500.206328708808,6230.488166861574,88.48123052673749,82.90862061652092,-0.06276465695819433,2024-05-01,10
8829.537659381867,6577.697852631392,90.8100202968603,81.34573896184504,-0.08401693730360571,2024-06-01,9
9059.28672000796,6596.653977507418,60.797287337044715,75.77584743270671,-0.1724795025178094,2024-07-01,8
9781.891243175874,7252.049233274294,63.30033213688232,75.37867953437524,-0.335503304223703,2024-08-01,7
10263.55129447386,8032.600542059842,70.11335463532565,73.97420659824758,-0.35138289922036336,2024-09-01,6
11065.349228405135,8571.33687807144,67.07185796863916,71.60925958689353,-0.557754817851227,2024-10-01,5
12149.337314805525,8865.941382088842,39.07053598422041,66.2712212559792,-1.6000836306623283,2024-11-01,4
12461.71367408218,8780.398691404593,36.5416420748136,67.85824155926623,-1.051737664940918,2024-12-01,3
15233.276435822889,12503.9832412865,48.76277806076028,69.12590840778186,-2.175832724544926,2025-01-01,2
21204.736890932218,21204.736890932218,69.33051133213084,69.33051133213084,,2025-02-01,1
