model,rmse,mae,mape,r2
catboost,2928.295442776575,2725.0627525581535,676.329827920631,-1.247978078748489
lightgbm,3481.7172646465783,3273.8778451158682,845.3385722193542,-1.4324928411641018
ensemble,3980.9729508402074,3587.7262277469345,781.2287099555491,-3.3824080622512476
xgboost,4727.919211108124,4551.992876325335,1130.166002196054,-6.198554376488469
prophet,4872.339668582283,3579.861585025121,482.13634973466566,-8.284090630159483
