rmse,mae,mape,nrmse,r2,forecast_date,n_periods
7181.441381234712,5259.868604647878,40.49306598150606,56.264052644251386,-0.11257451496335458,2024-04-01,11
7277.528357591,5517.083119147852,47.76407430094152,60.83465708355068,-0.20554677154099354,2024-05-01,10
7349.197062021767,5696.59964699702,46.332761454892356,58.62161974492237,-0.1865159137335164,2024-06-01,9
7736.211594637374,5932.651498524296,41.23758351808348,57.83596964470185,-0.33388227432912054,2024-07-01,8
8312.422081858747,6444.978600385554,43.888106852502744,58.72783796062863,-0.488006893521546,2024-08-01,7
8588.068443240887,7196.864343417193,51.16809832429215,57.92442575085469,-0.44583801673109424,2024-09-01,6
8768.486723147102,7494.4013125987185,49.695978829096205,54.074389619546004,-0.5490698420045239,2024-10-01,5
9333.907607837711,7475.206766371008,34.57707570489009,49.74104773694491,-1.9487684498849687,2024-11-01,4
5502.53196631605,4139.854335672325,22.75458099457468,34.36290492922032,-2.3274094900369535,2024-12-01,3
5809.2945798742,5062.716910489442,27.186029577454807,33.44248793894537,-3.157783776608021,2025-01-01,2
7911.716910489442,7911.716910489442,39.1281746315007,39.1281746315007,,2025-02-01,1
