Date,Forecast_Quantity,Lower_CI,Upper_CI
2024-04-01,3592.939718387214,253.66106115773988,50718.97517280671
2024-04-08,3390.9931492336646,204.8170596546411,55901.15671992604
2024-04-15,4709.998117482442,265.27927805234157,83345.71561848161
2024-04-22,11861.118272288577,647.608824513829,216940.00448175846
2024-04-29,746.7211745102092,39.24932330432105,13889.592658756697
2024-05-06,837.7906875468458,43.817361924009234,15697.599545155263
2024-05-13,1829.1672066374401,96.44285371983233,34373.11648350947
2024-05-20,2861.30961039607,151.14099093345808,53849.157380327546
2024-05-27,4597.6561455340625,243.23802580016905,86585.18278449727
2024-06-03,865.6970692782203,45.013399949799755,16323.892546844409
2024-06-10,1379.1038673836392,72.25715327179681,25999.009551293344
2024-06-17,1878.640004383422,98.76436772136945,35412.91206874488
2024-06-24,2114.5967880118187,111.28346886803115,39860.16402144965
2024-07-01,264.0274823581907,13.065828948690186,4992.6314924163635
2024-07-08,554.2115220248063,28.466519590341434,10460.358805678006
2024-07-15,651.4589538076403,33.62754002347958,12292.760576555775
2024-07-22,2346.3039283814896,123.57670851593329,44227.45809488109
2024-07-29,373.29412843056053,18.86461277330358,7051.5459608188685
2024-08-05,862.3149707816649,44.81800266810489,16265.809886380706
2024-08-12,1621.2637802732768,85.09704657160331,30566.131830681716
2024-08-19,1679.1894377843614,88.17127677242785,31657.586139197527
2024-08-26,1129.3303755012143,58.98906746689264,21296.99331329559
2024-09-02,1163.6914439395096,60.81268184999196,21944.43448022351
2024-09-09,1403.0845396352552,73.5177878413573,26455.144922603184
2024-09-16,1661.5574723816042,87.23550207354943,31325.362790658462
2024-09-23,2740.2027148497946,144.4815254234725,51649.49171726325
2024-09-30,2.8091686950103873e+23,1.4908862602169484e+22,5.293112538228121e+24
2024-10-07,1061.2899675503058,55.37801385313804,20014.958314842603
2024-10-14,1376.0454455911017,72.08276417657237,25945.667187378545
2024-10-21,1451.5663876853816,76.09082302793949,27368.653452378705
2024-10-28,1306.1456330445437,68.37303073822585,24628.59579256114
2024-11-04,980.9378650795431,51.113554888612015,18500.942017539663
2024-11-11,443.9642376033578,22.615209316315298,8383.137955074048
2024-11-18,757.0376867018126,39.23069075710733,14282.153573710908
2024-11-25,1837.1784350087041,96.55608391547001,34634.46119644149
2024-12-02,344.7964084631803,17.352159289415532,6514.590575491507
2024-12-09,739.709262584881,38.31103401133312,13955.646663653402
2024-12-16,4921.373888109811,260.24097146650496,92747.71609276618
2024-12-23,12096.186791950142,641.023727042366,227937.50463049338
2024-12-30,118.20854174165899,5.32665375682119,2245.159971825765
2025-01-06,931.0278416727969,48.464722576337536,17560.523696259464
2025-01-13,829.9328295429185,43.09939280262437,15655.663807196715
2025-01-20,2829.1698301296665,149.20320126920348,53325.83457938038
2025-01-27,3074.8509163687654,162.24202503573187,57955.02485117235
2025-02-03,636.1767417536834,32.81634040714028,12004.858568484082
2025-02-10,1542.0267507262126,80.89174908718256,29073.13237592393
2025-02-17,2735.829806972197,144.24944544312498,51567.09631513814
2025-02-24,5832.853923114512,308.61517773954495,109922.07239171793
2025-03-03,1846.5211148596445,97.05192003324069,34810.498527464486
2025-03-10,2009.080135647894,105.67927697049672,37873.48009085852
2025-03-17,4012.4351536899676,212.00163748228755,75621.24367506972
2025-03-24,9988.798825896694,529.1801141793175,188229.52376523873
