,Branch,Date,Segment,Rating,Tonnage,Qty,year_month,Month,weekofyear,quarter,dayofyear,month_sin,month_cos,week_sin,week_cos,qty_lag_1,qty_lag_2,qty_lag_3,qty_lag_6,qty_lag_12,qty_ma_3,qty_std_3,qty_ma_6,qty_std_6,qty_ma_12,qty_std_12,mom_growth,yoy_growth,rolling_trend_3,is_outlier,segment_code,rating_code,branch_code,tonnage_code,log_qty
0,BLR,2019-04-30,Inverter,3 Star,1.0,659.5,2019-04-01,4,18,2,120,0.8660254037844387,-0.49999999999999983,0.8229838658936565,-0.5680647467311557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2,0,1,6.49299712396238
1,BLR,2019-04-30,Non Inv,3 Star,1.5,263.5,2019-04-01,4,18,2,120,0.8660254037844387,-0.49999999999999983,0.8229838658936565,-0.5680647467311557,659.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6004548891577637,0.0,0.0,0,1,2,0,2,5.577841251298354
2,BLR,2019-04-30,Non Inv,3 Star,1.0,164.0,2019-04-01,4,18,2,120,0.8660254037844387,-0.49999999999999983,0.8229838658936565,-0.5680647467311557,263.5,659.5,0.0,0.0,0.0,362.3333333333333,262.1184528668925,0.0,0.0,0.0,0.0,-0.3776091067263412,0.0,0.0,0,1,2,0,1,5.10594547390058
3,BLR,2019-04-30,Non Inv,3 Star,0.8,10.0,2019-04-01,4,18,2,120,0.8660254037844387,-0.49999999999999983,0.8229838658936565,-0.5680647467311557,164.0,263.5,659.5,0.0,0.0,145.83333333333334,127.7226813582197,0.0,0.0,0.0,0.0,-0.939024384518144,0.0,-0.778872882316594,0,1,2,0,0,2.3978952727983707
4,BLR,2019-04-30,Non Inv,2 Star,2.0,2.0,2019-04-01,4,18,2,120,0.8660254037844387,-0.49999999999999983,0.8229838658936565,-0.5680647467311557,10.0,164.0,263.5,0.0,0.0,58.666666666666664,91.30899919139031,0.0,0.0,0.0,0.0,-0.7999999200000081,0.0,-0.7773561007816974,0,1,1,0,4,1.0986122886681098
5,BLR,2019-04-30,Non Inv,2 Star,1.8,183.0,2019-04-01,4,18,2,120,0.8660254037844387,-0.49999999999999983,0.8229838658936565,-0.5680647467311557,2.0,10.0,164.0,0.0,0.0,65.0,102.26925246622262,213.66666666666666,241.22223501714484,0.0,0.0,90.49995475002262,0.0,-0.6036585329045212,0,1,1,0,3,5.214935757608986
6,BLR,2019-04-30,Non Inv,2 Star,1.5,51.0,2019-04-01,4,18,2,120,0.8660254037844387,-0.49999999999999983,0.8229838658936565,-0.5680647467311557,183.0,2.0,10.0,659.5,0.0,78.66666666666667,93.61801820874719,112.25,106.6975866643665,0.0,0.0,-0.7213114714682434,0.0,6.86666598000007,0,1,1,0,2,3.9512437185814275
7,BLR,2019-04-30,Non Inv,2 Star,1.0,62.0,2019-04-01,4,18,2,120,0.8660254037844387,-0.49999999999999983,0.8229838658936565,-0.5680647467311557,51.0,183.0,2.0,263.5,0.0,98.66666666666667,73.24160930327324,78.66666666666667,77.20535387307457,0.0,0.0,0.21568627028066137,0.0,48.33330916667875,0,1,1,0,1,4.143134726391533
8,BLR,2019-04-30,Inverter,5 Star,1.8,57.0,2019-04-01,4,18,2,120,0.8660254037844387,-0.49999999999999983,0.8229838658936565,-0.5680647467311557,62.0,51.0,183.0,164.0,0.0,56.666666666666664,5.507570547284675,60.833333333333336,64.9350958008585,0.0,0.0,-0.08064515998959419,0.0,-0.6903460800163238,0,0,4,0,3,4.060443010546419
9,BLR,2019-04-30,Inverter,5 Star,1.0,166.0,2019-04-01,4,18,2,120,0.8660254037844387,-0.49999999999999983,0.8229838658936565,-0.5680647467311557,57.0,62.0,51.0,10.0,0.0,95.0,61.53860576906164,86.83333333333333,71.4182516354655,0.0,0.0,1.9122806682056024,0.0,0.8627450811226455,0,0,4,0,1,5.117993812416755
