Date,Forecast,Lower_CI,Upper_CI
2024-04-01,24301.8,1410.6,420795.4
2024-05-01,10125.9,534.6,190505.1
2024-06-01,6238.0,327.3,117596.0
2024-07-01,4189.3,217.6,79024.8
2024-08-01,5292.1,277.1,99786.5
2024-09-01,2.8091686950103876e+23,1.4908862602169484e+22,5.293112538228121e+24
2024-10-01,5195.0,271.9,97957.9
2024-11-01,4019.1,209.5,75800.7
2024-12-01,18220.3,962.3,343400.6
2025-01-01,7665.0,403.0,144497.0
2025-02-01,10746.9,566.6,202567.2
2025-03-01,17856.8,943.9,336534.7
