date,decomp_forecast,xgb_forecast,branch,absolute_difference,percentage_difference,difference
2025-04-01,12861.0,10532.0,SBD,2329.0,-18.109011740922167,-2329.0
2025-05-01,8202.3,6479.3,SBD,1722.999999999999,-21.006303110103257,-1722.999999999999
2025-06-01,5409.4,5081.60009765625,SBD,327.79990234374964,-6.059819986389427,-327.79990234374964
2025-07-01,2563.6,3776.89990234375,SBD,1213.29990234375,47.32797247401116,1213.29990234375
2025-08-01,4431.6,4044.60009765625,SBD,386.99990234375036,-8.732735408063688,-386.99990234375036
2025-09-01,4722.2,3776.0,SBD,946.1999999999998,-20.03727076362712,-946.1999999999998
2025-10-01,5279.3,4099.1,SBD,1180.1999999999998,-22.355236489686128,-1180.1999999999998
2025-11-01,4737.5,3771.7,SBD,965.8000000000002,-20.38627968337731,-965.8000000000002
2025-12-01,24743.1,18744.5,SBD,5998.5999999999985,-24.243526478088835,-5998.5999999999985
2026-01-01,7568.7,5504.0,SBD,2064.7,-27.279453538916854,-2064.7
2026-02-01,15206.6,11607.3,SBD,3599.300000000001,-23.669327791879848,-3599.300000000001
2026-03-01,17999.0,13619.0,SBD,4380.0,-24.33468526029224,-4380.0
2025-04-01,24872.7,19737.3,MAA,5135.4000000000015,-20.6467331652776,-5135.4000000000015
2025-05-01,14224.6,11960.5,MAA,2264.1000000000004,-15.91679203633143,-2264.1000000000004
2025-06-01,7925.8,9288.2998046875,MAA,1362.4998046874998,17.190691219656056,1362.4998046874998
2025-07-01,5776.1,8244.900390625,MAA,2468.8003906249996,42.74164904736759,2468.8003906249996
2025-08-01,6846.4,8015.7998046875,MAA,1169.3998046875004,17.080506612051597,1169.3998046875004
2025-09-01,8479.7,9248.7001953125,MAA,769.0001953124993,9.068719356964271,769.0001953124993
2025-10-01,5935.7,6279.7001953125,MAA,344.0001953125002,5.795444434733901,344.0001953125002
2025-11-01,5635.4,6140.5,MAA,505.10000000000036,8.962983994037698,505.10000000000036
2025-12-01,20534.7,16253.0,MAA,4281.700000000001,-20.851047251725134,-4281.700000000001
2026-01-01,7973.0,7211.5,MAA,761.5,-9.55098457293365,-761.5
2026-02-01,12902.0,10152.0,MAA,2750.0,-21.314524879863587,-2750.0
2026-03-01,19882.7,16090.0,MAA,3792.7000000000007,-19.07537708661299,-3792.7000000000007
