YearMonth,BLR,COK,MAA,SBD,SBD1
2019-04,0.10114149190337138,0.06659334824983883,0.49761083089992036,0.13517767074974402,0.1994766581971254
2019-05,0.07539175051231876,0.04157100815087595,0.3666045207315758,0.1655136284494846,0.3509190921557449
2019-06,0.07960163100350016,0.05138382708476166,0.4694547685201891,0.21852560170317178,0.1810341716883773
2019-07,0.12573926459244023,0.11586526099254307,0.4848547184366161,0.16821805091283107,0.10532270506556955
2019-08,0.10171017101710171,0.14301430143014301,0.4385938593859386,0.19171917191719173,0.12496249624962497
2019-09,0.15635202021974937,0.11440306104538912,0.42029697756871554,0.17186786955453365,0.13708007161161231
2019-10,0.12441665932904816,0.053755393149599366,0.3809985031258255,0.24007220216606498,0.200757242229462
2019-11,0.188689505165851,0.09951060358890701,0.26679519501705473,0.26615255326511444,0.1788521429630728
2019-12,0.12206012998550521,0.0923224388647309,0.2909711506990228,0.3674194604198812,0.12722682003085986
2020-01,0.09888468176081189,0.06019627540375551,0.2844190299564691,0.4016948715967339,0.1548051412822296
2020-02,0.08670991658943467,0.07546493666975594,0.31775100401606426,0.35053444547420454,0.16953969725054063
2020-03,0.06444937732796568,0.11174235298543964,0.39185070920651643,0.30381127958162457,0.12814628089845367
2020-05,0.06071610792640836,0.042558300069029685,0.5853116840241304,0.1461028242144122,0.16531108376601938
2020-06,0.07151878011132419,0.06688806773001543,0.5341222695168155,0.13901492118433978,0.18845596145750504
2020-07,0.08029776069314784,0.06278601501006773,0.49374580511318567,0.18475806943681738,0.17841234974678138
2020-08,0.09701110162254484,0.10993452889268432,0.4593225163677768,0.1488186734984344,0.18491317961855963
2020-09,0.11573191351584704,0.08378602007410872,0.4376371550886786,0.18131453034500125,0.18153038097636437
2020-10,0.11314900994616298,0.07459622228305503,0.4111232776713204,0.209234419198832,0.19189707090062963
2020-11,0.11537995394497637,0.11727871369126974,0.34432190037571203,0.24768714903244052,0.17533228295560135
2020-12,0.1329143687743149,0.1130563037065538,0.3754007951776324,0.2219443375657304,0.15668419477576845
2021-01,0.07936145952109463,0.07428734321550741,0.32075256556442416,0.3426453819840365,0.1829532497149373
2021-02,0.09692233478051133,0.06805595754944525,0.3261360347322721,0.37383502170767,0.1350506512301013
2021-03,0.08466694280227435,0.10501939225063071,0.26106111383062847,0.3730278269382837,0.17622472417818277
2021-04,0.052661028938227814,0.06300742195335678,0.4797136794096221,0.22488624246455305,0.17973162723424022
2021-05,0.10566356720202874,0.006198929275852353,0.31839954916877994,0.4249084249084249,0.14482952944491406
2021-06,0.06606155002953971,0.07664213974971804,0.45029271174606583,0.20054782748804983,0.20645577098662657
2021-07,0.10385726072607261,0.0671410891089109,0.444513201320132,0.23267326732673269,0.15181518151815182
2021-08,0.09374858128660281,0.07563444863122532,0.4844509011667499,0.2136468879102919,0.13251918100513008
2021-09,0.13870809484873262,0.0734914145543745,0.40206050695012263,0.22103025347506133,0.16470973017170892
2021-10,0.10668569099062372,0.09164288626172035,0.35886669384427233,0.2514472075010192,0.19135752140236445
2021-11,0.16617869762746088,0.11625441696113074,0.37864714790509846,0.23387178192831903,0.10504795557799092
