Year,Month,State,Star_Rating,Tonnage,Monthly_Total_Sales,Monthly_Avg_Daily_Sales,Daily_Max_Sales,Daily_Min_Sales,Weekly_Avg_Sales,Number_of_Days,Number_of_Transactions
2024,9,Andhra Pradesh,5 Star,1.0,28.0,5.6,10.0,1.0,6.53,5,6
2024,9,Andhra Pradesh,5 Star,1.5,1618.0,85.16,390.0,1.0,377.53,19,138
2024,9,Andhra Pradesh,5 Star,1.8,32.0,3.56,7.0,-1.0,7.47,9,15
2024,9,Karnataka,1 Star,1.8,26.0,13.0,16.0,10.0,6.07,2,3
2024,9,Karnataka,2 Star,1.8,10.0,10.0,10.0,10.0,2.33,1,1
2024,9,Karnataka,3 Star,0.8,242.0,40.33,118.0,2.0,56.47,6,15
2024,9,Karnataka,3 Star,0.9,15.0,15.0,15.0,15.0,3.5,1,1
2024,9,Karnataka,3 Star,1.0,855.0,47.5,316.0,2.0,199.5,18,85
2024,9,Karnataka,3 Star,1.5,1408.0,70.4,331.0,4.0,328.53,20,112
2024,9,Karnataka,3 Star,1.8,6.0,3.0,5.0,1.0,1.4,2,2
2024,9,Karnataka,3 Star,2.2,198.0,22.0,180.0,-2.0,46.2,9,30
2024,9,Karnataka,5 Star,1.0,134.0,8.93,30.0,-20.0,31.27,15,32
2024,9,Karnataka,5 Star,1.5,688.0,38.22,248.0,1.0,160.53,18,63
2024,9,Karnataka,5 Star,1.8,99.0,7.62,26.0,1.0,23.1,13,23
2024,9,Kerala,3 Star,0.8,17.0,2.83,6.0,1.0,3.97,6,10
2024,9,Kerala,3 Star,0.9,35.0,7.0,18.0,2.0,8.17,5,8
2024,9,Kerala,3 Star,1.0,1791.0,77.87,225.0,4.0,417.9,23,201
2024,9,Kerala,3 Star,1.4,36.0,36.0,36.0,36.0,8.4,1,3
2024,9,Kerala,3 Star,1.5,1856.0,77.33,295.0,1.0,433.07,24,232
2024,9,Kerala,3 Star,1.8,155.0,15.5,89.0,-1.0,36.17,10,46
2024,9,Kerala,3 Star,2.2,18.0,2.25,5.0,1.0,4.2,8,12
2024,9,Kerala,5 Star,1.0,480.0,25.26,90.0,1.0,112.0,19,80
2024,9,Kerala,5 Star,1.5,466.0,23.3,130.0,1.0,108.73,20,96
2024,9,Kerala,5 Star,1.8,31.0,3.88,18.0,1.0,7.23,8,13
2024,9,Tamil Nadu,1 Star,1.8,143.0,28.6,60.0,2.0,33.37,5,5
2024,9,Tamil Nadu,2 Star,1.8,7.0,3.5,4.0,3.0,1.63,2,2
2024,9,Tamil Nadu,3 Star,0.8,548.0,42.15,227.0,2.0,127.87,13,35
2024,9,Tamil Nadu,3 Star,0.9,139.0,9.27,30.0,1.0,32.43,15,25
2024,9,Tamil Nadu,3 Star,1.0,1569.0,68.22,260.0,2.0,366.1,23,203
2024,9,Tamil Nadu,3 Star,1.4,571.0,35.69,150.0,1.0,133.23,16,38
2024,9,Tamil Nadu,3 Star,1.5,5217.0,208.68,521.0,3.0,1217.3,25,416
2024,9,Tamil Nadu,3 Star,1.8,201.0,18.27,107.0,-3.0,46.9,11,37
2024,9,Tamil Nadu,3 Star,2.2,205.0,9.76,65.0,1.0,47.83,21,59
2024,9,Tamil Nadu,5 Star,1.0,114.0,6.71,16.0,1.0,26.6,17,29
2024,9,Tamil Nadu,5 Star,1.5,1293.0,53.88,198.0,3.0,301.7,24,150
2024,9,Tamil Nadu,5 Star,1.8,56.0,4.0,11.0,1.0,13.07,14,23
2024,9,Telangana,1 Star,1.8,84.0,12.0,50.0,1.0,19.6,7,11
2024,9,Telangana,3 Star,0.8,344.0,38.22,121.0,-28.0,80.27,9,13
2024,9,Telangana,3 Star,0.9,16.0,16.0,16.0,16.0,3.73,1,1
2024,9,Telangana,3 Star,1.0,218.0,16.77,46.0,-10.0,50.87,13,34
2024,9,Telangana,3 Star,1.4,31.0,10.33,15.0,3.0,7.23,3,3
2024,9,Telangana,3 Star,1.5,3877.0,176.23,654.0,5.0,904.63,22,137
2024,9,Telangana,3 Star,1.8,145.0,11.15,30.0,1.0,33.83,13,24
2024,9,Telangana,3 Star,2.2,472.0,39.33,204.0,-11.0,110.13,12,58
2024,9,Telangana,3 Star,2.6,19.0,6.33,9.0,5.0,4.43,3,4
2024,9,Telangana,5 Star,1.0,85.0,7.73,31.0,1.0,19.83,11,21
2024,9,Telangana,5 Star,1.5,1436.0,68.38,465.0,-214.0,335.07,21,86
2024,9,Telangana,5 Star,1.8,73.0,6.08,22.0,-2.0,17.03,12,16
2024,10,Andhra Pradesh,1 Star,1.8,50.0,5.56,13.0,1.0,11.29,9,14
2024,10,Andhra Pradesh,3 Star,0.9,65.0,7.22,12.0,1.0,14.68,9,12
2024,10,Andhra Pradesh,3 Star,1.0,42.0,6.0,15.0,2.0,9.48,7,12
2024,10,Andhra Pradesh,3 Star,1.4,62.0,6.89,22.0,1.0,14.0,9,10
2024,10,Andhra Pradesh,3 Star,1.5,1287.0,67.74,188.0,2.0,290.61,19,213
2024,10,Andhra Pradesh,3 Star,1.8,88.0,44.0,65.0,23.0,19.87,2,8
2024,10,Andhra Pradesh,3 Star,2.2,202.0,20.2,42.0,2.0,45.61,10,60
2024,10,Andhra Pradesh,3 Star,2.6,1.0,1.0,1.0,1.0,0.23,1,1
2024,10,Andhra Pradesh,5 Star,1.0,11.0,2.75,6.0,1.0,2.48,4,5
2024,10,Andhra Pradesh,5 Star,1.5,3336.0,166.8,705.0,8.0,753.29,20,287
2024,10,Andhra Pradesh,5 Star,1.8,35.0,5.83,13.0,2.0,7.9,6,13
2024,10,Karnataka,1 Star,1.8,89.0,17.8,38.0,2.0,20.1,5,14
2024,10,Karnataka,2 Star,1.8,1.0,1.0,1.0,1.0,0.23,1,1
2024,10,Karnataka,3 Star,0.8,5.0,5.0,5.0,5.0,1.13,1,1
2024,10,Karnataka,3 Star,0.9,58.0,11.6,24.0,2.0,13.1,5,12
2024,10,Karnataka,3 Star,1.0,493.0,29.0,112.0,1.0,111.32,17,80
2024,10,Karnataka,3 Star,1.5,759.0,42.17,112.0,1.0,171.39,18,105
2024,10,Karnataka,3 Star,1.8,405.0,81.0,299.0,1.0,91.45,5,50
2024,10,Karnataka,3 Star,2.2,3.0,1.0,2.0,0.0,0.68,3,4
2024,10,Karnataka,5 Star,1.0,169.0,13.0,34.0,1.0,38.16,13,48
2024,10,Karnataka,5 Star,1.5,337.0,16.85,101.0,1.0,76.1,20,50
2024,10,Karnataka,5 Star,1.8,80.0,8.0,20.0,1.0,18.06,10,19
2024,10,Kerala,1 Star,1.8,5.0,5.0,5.0,5.0,1.13,1,1
2024,10,Kerala,3 Star,0.8,35.0,7.0,25.0,1.0,7.9,5,7
2024,10,Kerala,3 Star,0.9,18.0,9.0,14.0,4.0,4.06,2,3
2024,10,Kerala,3 Star,1.0,756.0,34.36,132.0,3.0,170.71,22,89
2024,10,Kerala,3 Star,1.4,9.0,3.0,4.0,2.0,2.03,3,3
2024,10,Kerala,3 Star,1.5,602.0,28.67,205.0,2.0,135.94,21,81
2024,10,Kerala,3 Star,1.8,11.0,5.5,9.0,2.0,2.48,2,4
2024,10,Kerala,3 Star,2.2,233.0,16.64,84.0,-1.0,52.61,14,64
2024,10,Kerala,3 Star,2.6,10.0,3.33,5.0,1.0,2.26,3,9
2024,10,Kerala,5 Star,1.0,257.0,15.12,55.0,2.0,58.03,17,44
2024,10,Kerala,5 Star,1.5,165.0,10.31,33.0,3.0,37.26,16,33
2024,10,Kerala,5 Star,1.8,23.0,4.6,12.0,1.0,5.19,5,9
2024,10,Tamil Nadu,1 Star,1.8,305.0,38.12,94.0,-2.0,68.87,8,19
2024,10,Tamil Nadu,2 Star,1.8,13.0,13.0,13.0,13.0,2.94,1,1
