Unnamed: 0,Date,Item Code,Branch,Star Rating,Segment,Quantity,Tonnage,Region
0,2020-03-23,RKG35TV16W,COK,5 Star,Inv,2.0,1.0,South
1,2020-03-23,RKL35TV16X,COK,3 Star,Inv,2.0,1.0,South
2,2020-03-23,RL28TV16X2,COK,3 Star,Non Inv,2.0,0.8,South
3,2020-03-23,RL28TV16X2,COK,3 Star,Non Inv,10.0,0.8,South
4,2020-03-23,RLG35TV16W1,COK,3 Star,Non Inv,10.0,1.0,South
5,2020-03-23,RKG60TV16U,COK,5 Star,Inv,1.0,1.8,South
6,2020-03-23,RKT35TV16W,COK,3 Star,Inv,3.0,1.0,South
7,2020-03-23,RKJ35TV16U,COK,5 Star,Inv,1.0,1.0,South
8,2020-03-23,RL28TV16X2,COK,3 Star,Non Inv,1.0,0.8,South
9,2020-03-23,RKL60TV16U,COK,3 Star,Inv,7.0,1.8,South
10,2020-03-23,RKL35TV16W,COK,3 Star,Inv,1.0,1.0,South
11,2020-03-23,RKT50TV16V,COK,3 Star,Inv,1.0,1.5,South
12,2020-03-23,RKG35TV16W,COK,5 Star,Inv,6.0,1.0,South
13,2020-03-23,RLG35TV16W1,COK,3 Star,Non Inv,8.0,1.0,South
14,2020-03-23,RKL35TV16X,COK,3 Star,Inv,1.0,1.0,South
15,2020-03-23,RKG50TV16U,COK,5 Star,Inv,1.0,1.5,South
16,2020-03-23,RQ60TV16U2,COK,2 Star,Non Inv,2.0,1.8,South
17,2020-03-23,RLG35TV16W1,COK,3 Star,Non Inv,3.0,1.0,South
18,2020-03-21,RKJ50TV16U,MAA,5 Star,Inv,1.0,1.5,South
19,2020-03-21,RKJ50TV16U,MAA,5 Star,Inv,1.0,1.5,South
20,2020-03-21,RKJ50TV16U,MAA,5 Star,Inv,1.0,1.5,South
21,2020-03-21,RKG50TV16U,MAA,5 Star,Inv,1.0,1.5,South
22,2020-03-21,RL50TV16U2,MAA,3 Star,Non Inv,1.0,1.5,South
23,2020-03-21,RKL35TV16X,COK,3 Star,Inv,3.0,1.0,South
24,2020-03-21,RL28TV16X2,COK,3 Star,Non Inv,3.0,0.8,South
25,2020-03-21,RKG35TV16W,COK,5 Star,Inv,1.0,1.0,South
26,2020-03-21,RLG35TV16W1,COK,3 Star,Non Inv,4.0,1.0,South
27,2020-03-21,RKF50TV16U,SBD,5 Star,Inv,2.0,1.5,South
28,2020-03-21,RKL35TV16W,SBD,3 Star,Inv,4.0,1.0,South
29,2020-03-21,RL35TV16W1,BLR,3 Star,Non Inv,4.0,1.0,South
30,2020-03-21,RKT50TV16V,BLR,3 Star,Inv,10.0,1.5,South
31,2020-03-21,RL50TV16V3,BLR,3 Star,Non Inv,10.0,1.5,South
32,2020-03-21,RKL50TV16V,MAA,3 Star,Inv,14.0,1.5,South
33,2020-03-21,RKG35TV16W,COK,5 Star,Inv,3.0,1.0,South
34,2020-03-21,RKG50TV16U,MAA,5 Star,Inv,2.5,1.5,South
35,2020-03-21,RKG60TV16U,MAA,5 Star,Inv,1.0,1.8,South
36,2020-03-21,RKT50TV16V,BLR,3 Star,Inv,5.0,1.5,South
37,2020-03-21,RKL60TV16U,BLR,3 Star,Inv,2.0,1.8,South
38,2020-03-21,RKL35TV16W,SBD,3 Star,Inv,10.0,1.0,South
39,2020-03-21,RKF35TV16U,COK,5 Star,Inv,5.0,1.0,South
40,2020-03-21,RQ90ARV16,MAA,2 Star,Non Inv,1.0,2.2,South
41,2020-03-21,RKG50TV16U,SBD,5 Star,Inv,125.0,1.5,South
42,2020-03-21,RKL50TV16VC,SBD,3 Star,Inv,10.0,1.5,South
43,2020-03-21,RKG50TV16U,SBD,5 Star,Inv,50.0,1.5,South
44,2020-03-21,RKL50TV16VC,SBD,3 Star,Inv,50.0,1.5,South
45,2020-03-21,RKL50TV16VC,SBD,3 Star,Inv,41.0,1.5,South
46,2020-03-21,RKJ50TV16U,COK,5 Star,Inv,1.0,1.5,South
47,2020-03-21,RKG35TV16W,MAA,5 Star,Inv,1.0,1.0,South
48,2020-03-21,RL28TV16X2,MAA,3 Star,Non Inv,4.0,0.8,South
49,2020-03-21,RQG60TV16U2,MAA,2 Star,Non Inv,1.0,1.8,South
50,2020-03-21,RLG35TV16W1,MAA,3 Star,Non Inv,7.0,1.0,South
51,2020-03-21,RQG60TV16U2,MAA,2 Star,Non Inv,1.0,1.8,South
52,2020-03-21,RKG35TV16W,BLR,5 Star,Inv,3.5,1.0,South
53,2020-03-21,RQ60TV16U2,MAA,2 Star,Non Inv,2.0,1.8,South
54,2020-03-21,RKL50TV16V,MAA,3 Star,Inv,2.0,1.5,South
55,2020-03-21,RKG50TV16U,COK,5 Star,Inv,2.0,1.5,South
