model,branch,aggregation,rmse,mae,mape,nrmse,r2,n_samples,status
CatBoost,BLR,weekly,1405.4701814802193,1288.5857096365728,337.30363023021215,142.23745560112764,-1.5876333677182322,52,success
CatBoost,COK,weekly,1127.4471589376028,954.4750682519654,226.2424205847171,86.59476280926303,-0.1675572753946497,52,success
CatBoost,MAA,weekly,3492.4769524781987,2332.2747792449295,140.39817993808313,102.0383083187904,0.14556334719168174,52,success
CatBoost,SBD,weekly,2582.448291745514,1765.45495695959,199.77147004639724,97.38091731685272,0.19604314609269535,52,success
CatBoost,SBD1,weekly,1735.06145709294,1312.9612784795756,758.9124647491618,95.8658603064718,0.11709016579098608,52,success
