model,branch,aggregation,rmse,mae,mape,nrmse,r2,n_samples,anomaly_rate,mean_anomaly_severity,max_anomaly_severity,status
Quantile Regression,BLR,weekly,1336.8284187947613,944.8086185022895,209.67250427354975,91.55876636811495,-0.07846193359921139,13,0.9230769230769231,0.7547502758932844,1.0,success
Quantile Regression,COK,weekly,1497.925135414887,1280.5686773729099,349.2912980442191,87.04195762736248,-0.5652017797681583,13,1.0,0.7128196759654384,0.9285060372624142,success
Quantile Regression,MAA,weekly,4066.3187669025174,2598.7654031515044,181.40663790483075,110.04005905562715,-0.2642650551428751,13,1.0,0.14273527840895212,0.4,success
Quantile Regression,SBD,weekly,3787.050261506356,3011.325397195421,409.6548579439216,89.36099577002999,-0.0008396910505739097,13,1.0,0.18831506390917216,0.4,success
Quantile Regression,SBD1,weekly,2130.5064115857867,1624.6644937936762,2815.484482151272,76.79345470091745,-0.05122939741314014,12,1.0,0.24176330204992494,0.4,success
