model,branch,aggregation,rmse,mae,mape,nrmse,r2,n_samples,anomaly_rate,mean_anomaly_severity,max_anomaly_severity,status
Random Forest,BLR,weekly,1591.0179840456374,1099.6671677913869,115.5138274133839,108.96809331749269,-0.5275789287051829,13,0.9230769230769231,0.7547502758932844,1.0,success
Random Forest,COK,weekly,1708.862992119417,1362.0446986833604,92.66159629203011,99.29920837454148,-1.0370636799791697,13,1.0,0.7128196759654384,0.9285060372624142,success
Random Forest,MAA,weekly,4022.8507548451626,2563.3123187838946,189.06454184969564,108.86375614185788,-0.23738011907806045,13,1.0,0.14273527840895212,0.4,success
Random Forest,SBD,weekly,4719.235241185027,3149.97587272299,149.30683020105997,111.35726523406848,-0.5541954549229506,13,1.0,0.18831506390917216,0.4,success
Random Forest,SBD1,weekly,2718.453213398142,2072.3748462481385,1269.8909535767896,97.9858180967731,-0.7114945954319578,12,1.0,0.24176330204992494,0.4,success
