model,branch,aggregation,rmse,mae,mape,nrmse,r2,n_samples,anomaly_rate,mean_anomaly_severity,max_anomaly_severity,status
LightGBM,BLR,monthly,5013.133466563621,4620.386833038282,70.69233656084063,79.23397291866004,-5.642339149068673,3,1.0,0.32240744008241834,0.4,success
LightGBM,COK,monthly,5650.973603185481,4742.332173274756,54.98898595362911,75.7774039404454,-2.381429349374462,3,1.0,0.3113513929151289,0.4,success
LightGBM,MAA,monthly,9842.291895793178,9368.627492612213,57.13893452324806,61.464384536271645,-9.645684332733872,3,1.0,0.21126240216393702,0.3226738267478087,success
LightGBM,SBD,monthly,14884.953576718683,12077.776261610195,58.5961939122421,81.05360160121259,-1.927259763129034,3,1.0,0.24305873252964064,0.4,success
LightGBM,SBD1,monthly,9674.858849816708,7766.590427915443,52.69473452119494,87.18183512390401,-1.8123362342172946,3,1.0,0.2674505971158672,0.4,success
