model,branch,aggregation,rmse,mae,mape,nrmse,r2,n_samples,anomaly_rate,mean_anomaly_severity,max_anomaly_severity,status
Auto-ARIMA,BLR,weekly,1338.1860728525398,945.9627597328642,208.8237367374765,91.65175147296253,-0.08065357119996452,13,0.9230769230769231,0.7547502758932844,1.0,success
Auto-ARIMA,COK,weekly,1624.7085169111938,1296.8645379334796,102.0281682940998,94.40913069839763,-0.8413698612441536,13,1.0,0.7128196759654384,0.9285060372624142,success
Auto-ARIMA,MAA,weekly,4027.386861113092,2565.6966349824306,188.1774687567914,108.98650928302045,-0.24017219492689157,13,1.0,0.14273527840895212,0.4,success
Auto-ARIMA,SBD,weekly,4305.986746199069,2974.5650084513527,217.12960624297324,101.60606193270996,-0.29392099418527406,13,1.0,0.18831506390917216,0.4,success
Auto-ARIMA,SBD1,weekly,2715.8542550358907,2070.3580424671095,1274.7075551535363,97.89213943419045,-0.7082236346666864,12,1.0,0.24176330204992494,0.4,success
