model,branch,aggregation,rmse,mae,mape,nrmse,r2,n_samples,anomaly_rate,mean_anomaly_severity,max_anomaly_severity,status
XGBoost,BLR,monthly,4641.0996609195345,4213.8193359375,63.71035399970501,73.3538748367241,-4.693040858971682,3,1.0,0.32240744008241834,0.4,success
XGBoost,COK,monthly,5946.320015998102,5090.671223958333,60.76397203241209,79.73788685854775,-2.744124804647449,3,1.0,0.3113513929151289,0.4,success
XGBoost,MAA,monthly,9869.662639626767,9397.3779296875,57.32439588391064,61.63531280601241,-9.704976509044577,3,1.0,0.21126240216393702,0.3226738267478087,success
XGBoost,SBD,monthly,15581.11404951497,12926.018391927084,64.18278960817214,84.84443059652753,-2.2074752001427482,3,1.0,0.24305873252964064,0.4,success
XGBoost,SBD1,monthly,10059.326007854177,8240.574788411459,59.42655281001975,90.64633552674076,-2.040295057532041,3,1.0,0.2674505971158672,0.4,success
