model,branch,aggregation,rmse,mae,mape,nrmse,r2,n_samples,status
LSTM,BLR,weekly,904.3559790213089,612.3269308825559,95.02410125583461,91.52331732728983,-0.0713670836621898,52,success
LSTM,COK,weekly,1471.586216917023,1155.344241557769,194.57611143091745,113.02672448737158,-0.9891027797061189,52,success
LSTM,MAA,weekly,4265.618200989488,2351.3356545445413,73.62020731400948,124.62686829012837,-0.27460827621553374,52,success
LSTM,SBD,weekly,3401.614270520724,2154.2522522969944,86.25754085782611,128.27064885682827,-0.3948888500895067,52,success
LSTM,SBD1,weekly,2528.8521605882006,1717.7649777354259,91.70111457136908,139.72449619672568,-0.8755710078619983,52,success
