YYYY,Month,Location,QTY_sum,QTY_mean,QTY_count,Billing_Date_min,Billing_Date_max,month,time_min,time_max,time_mean,temp_min,temp_max,temp_mean,dwpt_min,dwpt_max,dwpt_mean,rhum_min,rhum_max,rhum_mean,prcp_min,prcp_max,prcp_mean,snow_min,snow_max,snow_mean,wdir_min,wdir_max,wdir_mean,wspd_min,wspd_max,wspd_mean,wpgt_min,wpgt_max,wpgt_mean,pres_min,pres_max,pres_mean,tsun_min,tsun_max,tsun_mean,coco_min,coco_max,coco_mean,calendar_year,calendar_month
2019,1,Bangalore,3951.0,5.38283378746594,734,2019-04-03,2019-04-30,2019-04-01,2019-04-01 00:00:00,2019-04-30 23:00:00,2019-04-15 23:35:05.849582080,19.0,35.25,27.041070585731973,0.775,23.275,15.193029054472298,12.25,100.0,54.1936513463324,0.0,7.766666666666666,0.05611111111111109,,,,0.0,352.5,156.7669225146199,0.0,36.625,10.347718875735065,,,,1006.5333333333334,1019.6666666666666,1013.9802314814815,,,,3.6666666666666665,9.333333333333334,4.163888888888889,2019.0,4.0
2019,1,Chennai,24969.0,7.538949275362318,3312,2019-04-03,2019-04-30,2019-04-01,2019-04-01 00:00:00,2019-04-30 23:00:00,2019-04-15 23:30:00.000000000,25.1,39.9,30.982534722222223,17.799999999999997,28.825,25.12371527777778,32.5,95.75,72.66006944444445,0.0,2.7,0.0195833333333333,,,,0.0,352.5,166.44999806021104,0.0,36.575,11.148819444444444,,,,1001.55,1014.725,1008.5757638888889,,,,0.75,18.0,2.8718749999999997,2019.0,4.0
2019,1,Cochin,3218.0,4.597142857142857,700,2019-04-04,2019-04-30,,,,,23.0,35.666666666666664,28.51902777777778,19.233333333333334,27.96666666666667,24.551018518518518,45.0,100.0,80.72453703703704,0.0,10.200000000000001,0.31379629629629624,,,,2.6666666666666665,360.0,177.8458333333333,1.0,29.0,7.1957870370370385,,,,1003.6666666666666,1014.0,1008.7973611111112,,,,3.6666666666666665,9.333333333333334,5.1342592592592595,,
2019,1,Secunderabad,17294.0,10.48121212121212,1650,2019-04-03,2019-04-30,2019-04-01,2019-04-01 00:00:00,2019-04-30 23:00:00,2019-04-15 23:09:48.068181760,20.75,39.75,29.972061237373737,6.65,25.0,17.374347697243646,12.0,98.5,50.9136994949495,0.0,3.9333333333333336,0.0231481481481481,,,,2.75,359.75,163.35062305295952,1.7000000000000002,28.25,10.836725852272727,,,,1003.1999999999999,1018.6666666666666,1011.8535185185186,,,,3.6666666666666665,9.333333333333334,4.281944444444444,2019.0,4.0
2019,2,Bangalore,4709.0,7.038863976083707,669,2019-05-01,2019-05-31,2019-05-01,2019-05-01 00:00:00,2019-05-31 23:00:00,2019-05-16 09:47:22.876526592,19.6,34.4,26.27037714652544,10.239999999999998,24.419999999999998,19.39594804569528,24.8,100.0,69.900511372755,0.0,8.166666666666666,0.1593189964157706,,,,0.0,354.8,230.1918718277453,0.0,38.96,13.101580177653108,,,,1007.0,1017.25,1012.4447167266187,,,,4.0,13.25,7.888811169629143,2019.0,5.0
2019,2,Chennai,23705.0,6.6568379668632405,3561,2019-05-02,2019-05-31,2019-05-01,2019-05-01 00:00:00,2019-05-31 23:00:00,2019-05-16 11:30:00.000000000,25.32,41.239999999999995,32.056290322580644,17.979999999999997,29.48,25.40693906568836,27.6,95.6,69.74365945961593,0.0,3.25,0.047671088332830854,,,,0.0,360.0,189.36178986548256,0.0,31.1,12.313198924731186,,,,998.6,1010.6600000000001,1005.6835752688172,,,,1.0,20.8,3.261021505376344,2019.0,5.0
2019,2,Cochin,2651.0,3.155952380952381,840,2019-05-01,2019-05-31,,,,,23.4,34.75,28.225911237929424,20.974999999999998,27.7,25.110053592155538,52.75,100.0,84.38786655059567,0.0,10.1,0.6258960573476703,,,,14.0,357.5,178.4597015357308,0.925,28.75,7.571532076703583,,,,1002.5,1012.25,1007.8351558595702,,,,4.25,13.25,5.457228146322295,,
2019,2,Secunderabad,31520.0,12.16988416988417,2590,2019-05-01,2019-05-31,2019-05-01,2019-05-01 00:00:00,2019-05-31 23:00:00,2019-05-16 09:49:06.857142784,21.54,40.2,31.125313197088094,8.04,26.380000000000003,19.35934684580393,17.4,97.6,54.04138129373613,0.0,3.6,0.03289585715181593,,,,0.8,356.4,198.11566660810877,1.52,28.52,11.464502747167122,,,,1001.9,1015.75,1009.4794318512061,,,,4.0,13.25,5.187794018817204,2019.0,5.0
2019,3,Bangalore,2418.0,5.361419068736142,451,2019-06-05,2019-06-30,2019-06-01,2019-06-01 00:00:00,2019-06-30 23:00:00,2019-06-15 22:49:58.328690688,19.6,32.4,24.81029579653954,14.279999999999998,24.02,19.992737715113396,38.0,100.0,76.8570856206027,0.0,7.8,0.155787037037037,,,,18.0,335.6,258.26460261721667,1.44,41.540000000000006,17.832391145402347,,,,1007.5,1015.75,1011.8745742880485,,,,3.25,16.5,5.354261796042618,2019.0,6.0
2019,3,Chennai,12397.0,5.41353711790393,2290,2019-06-01,2019-06-30,2019-06-01,2019-06-01 00:00:00,2019-06-30 23:00:00,2019-06-15 23:30:00.000000000,24.48,41.04,32.13180555555555,18.919999999999998,29.28,24.531861111111112,30.4,98.8,66.3775,0.0,6.4,0.1066666666666666,,,,0.0,354.0,215.77361111111114,0.0,29.939999999999998,12.700583333333332,,,,1000.0,1009.18,1004.5345555555556,,,,0.8,22.4,4.29501100110011,2019.0,6.0
