date,forecast
2025-04-28,4997.466986625635
2025-05-05,4723.73231758363
2025-05-12,4855.803820174129
2025-05-19,5275.5003217015565
2025-05-26,5019.301158275156
2025-06-02,4884.734039605245
2025-06-09,5262.680530780384
2025-06-16,5660.385167776771
2025-06-23,4605.073493910933
2025-06-30,5007.208056897036
2025-07-07,5724.500208643006
2025-07-14,5048.801497394135
2025-07-21,5103.025617447056
2025-07-28,4829.2909484050515
2025-08-04,4961.36245099555
2025-08-11,5381.058952522978
2025-08-18,5124.859789096577
2025-08-25,4990.2926704266665
2025-09-01,5368.239161601805
2025-09-08,5765.943798598192
2025-09-15,4710.632124732354
2025-09-22,5112.766687718457
2025-09-29,5830.0588394644265
2025-10-06,5154.360128215557
2025-10-13,5208.584248268477
2025-10-20,4934.849579226472
2025-10-27,5066.921081816971
2025-11-03,5486.617583344399
2025-11-10,5230.418419917998
2025-11-17,5095.851301248087
2025-11-24,5473.797792423226
2025-12-01,5871.502429419613
2025-12-08,4816.1907555537755
2025-12-15,5218.325318539878
2025-12-22,5935.617470285848
2025-12-29,5259.9187590369775
2026-01-05,5314.142879089898
2026-01-12,5040.408210047894
2026-01-19,5172.479712638392
2026-01-26,5592.17621416582
2026-02-02,5335.977050739419
2026-02-09,5201.409932069509
2026-02-16,5579.356423244647
2026-02-23,5977.061060241034
2026-03-02,4921.749386375196
2026-03-09,5323.8839493612995
2026-03-16,6041.176101107269
2026-03-23,5365.477389858399
2026-03-30,5419.701509911319
2026-04-06,5145.966840869314
2026-04-13,5278.038343459813
2026-04-20,5697.734844987241
2026-04-27,5441.53568156084
2026-05-04,5306.968562890929
2026-05-11,5684.9150540660685
2026-05-18,6082.619691062455
2026-05-25,5027.308017196618
2026-06-01,5429.44258018272
2026-06-08,6146.73473192869
2026-06-15,5471.03602067982
2026-06-22,5525.26014073274
2026-06-29,5251.525471690735
2026-07-06,5383.596974281234
2026-07-13,5803.293475808662
