date,total_market_estimate,total_market_min,total_market_max,blr_forecast,maa_forecast,blr_sob_forecast,maa_sob_forecast,total_from_blr,total_from_maa
2025-04-01,37316.33208509575,35435.94666804187,39434.743802957375,3240.0263585702023,14258.827624753743,0.06967893861269756,0.39925391211388916,46499.364414540236,35713.68292738567
2025-05-01,32653.535288201787,31079.866480711087,34400.20562012865,3189.9179404219576,12458.724136012643,0.09440419452835823,0.3848285114656139,33790.002195969515,32374.742943457513
2025-06-01,27544.456216612267,26225.449225858414,29006.250517480617,2926.8549816454283,10390.395202506683,0.09975857129402839,0.38372347966475506,29339.3835104035,27077.81971430152
2025-07-01,22130.63323649359,21156.612744517988,23198.952687800534,2331.7037352491852,9256.586638667326,0.12493000665815239,0.39870120850325236,18664.080773080055,23216.851219029642
2025-08-01,23397.156905227763,22259.444437695332,24658.52635954803,2305.5923036765853,8743.450057363452,0.10583646825831947,0.36640220611545826,21784.47884380675,23862.984205417895
2025-09-01,23316.355770052243,22194.542192543282,24557.84288644479,2365.5169672867028,8895.157601448378,0.13685322107623804,0.3460985180286525,17285.066063362316,25701.229962250152
2025-10-01,24702.942710522293,23405.861268227658,26152.441500571334,2364.2357405937337,8494.381165728862,0.12309390725540303,0.3164738411528599,19206.76492694531,26840.705490176657
2025-11-01,23240.677118858184,22011.76222922602,24618.66124127097,2433.215285353953,8075.29382021865,0.15692056130968302,0.29523963401636805,15506.032256359305,27351.65909252874
2025-12-01,32777.340604906945,30984.275711732844,34791.1041840743,2788.1382630037815,10878.174272268443,0.10154013880935416,0.3154037707043513,27458.48386359435,34489.67730466758
2026-01-01,31236.213725468697,29466.142232512502,33235.8878286296,2866.8443161676564,10090.337037727348,0.1345770261954157,0.2802357762707892,21302.62792406178,36006.59834373592
2026-02-01,35171.98741056196,33074.11185970017,37555.74139466032,3119.5057944887913,10474.852821976601,0.11558835206379303,0.2709226078594747,26988.06357899402,38663.63499427785
2026-03-01,35626.987125415675,33563.70952921666,37961.62992984387,3220.6213786808567,10947.03060844348,0.11602059859233657,0.28164569682722135,27759.048115216206,38868.0911221557
