Date,Forecast
2024-04-08,1760.764670363258
2024-04-15,1553.503815617166
2024-04-22,1465.6993188691977
2024-04-29,1428.501606553436
2024-05-06,1412.7430764920678
2024-05-13,1406.067094173934
2024-05-20,1403.2388646538918
2024-05-27,1402.0407065646605
2024-06-03,1401.5331159336251
2024-06-10,1401.3180789939838
2024-06-17,1401.2269802175624
2024-06-24,1401.1883869085275
2024-07-01,1401.1720371444499
2024-07-08,1401.1651106903032
2024-07-15,1401.1621763502835
2024-07-22,1401.160933239282
2024-07-29,1401.1604066046891
2024-08-05,1401.1601834999187
2024-08-12,1401.1600889832666
2024-08-19,1401.1600489420005
2024-08-26,1401.1600319788201
2024-09-02,1401.1600247924969
2024-09-09,1401.1600217480652
2024-09-16,1401.1600204583146
2024-09-23,1401.1600199119216
2024-09-30,1401.1600196804463
2024-10-07,1401.1600195823835
2024-10-14,1401.16001954084
2024-10-21,1401.1600195232404
2024-10-28,1401.1600195157844
2024-11-04,1401.1600195126257
2024-11-11,1401.1600195112876
2024-11-18,1401.1600195107208
2024-11-25,1401.1600195104807
2024-12-02,1401.160019510379
2024-12-09,1401.1600195103358
2024-12-16,1401.1600195103176
2024-12-23,1401.16001951031
2024-12-30,1401.1600195103067
2025-01-06,1401.1600195103053
2025-01-13,1401.1600195103047
2025-01-20,1401.1600195103044
2025-01-27,1401.1600195103044
2025-02-03,1401.1600195103044
2025-02-10,1401.1600195103044
2025-02-17,1401.1600195103044
2025-02-24,1401.1600195103044
2025-03-03,1401.1600195103044
2025-03-10,1401.1600195103044
2025-03-17,1401.1600195103044
2025-03-24,1401.1600195103044
2025-03-31,1401.1600195103044
