model,rmse,mae,mape,r2
catboost,2811.1132656173827,2600.195502526114,716.0358262384963,-1.1223764066882016
lightgbm,3627.7323574747734,3406.4336923946594,986.1602733894359,-1.6222951466071382
ensemble,3939.112531071711,3532.079705097997,818.3994014597566,-3.3538121215812855
xgboost,4401.55386524135,4204.319675990514,1096.4175391681372,-5.271104016911732
prophet,4872.339668582283,3579.861585025121,482.13634973466566,-8.284090630159483
