date,forecast
2025-04-01,8808.984
2025-05-01,10125.806
2025-06-01,10106.78
2025-07-01,8600.913
2025-08-01,8599.421
2025-09-01,8613.291
2025-10-01,8328.706
2025-11-01,8327.937
2025-12-01,8326.087
2026-01-01,8325.374
2026-02-01,8325.586
2026-03-01,8325.622
