model,rmse,mae,mape,r2
catboost,2928.295442776575,2725.0627525581535,676.329827920631,-1.247978078748489
lightgbm,3481.7172646465783,3273.8778451158682,845.3385722193542,-1.4324928411641018
random_forest,4174.4849423272535,4031.3853054905244,1063.6113643308909,-4.219992352812329
xgboost,4727.919211108124,4551.992876325335,1130.166002196054,-6.198554376488469
prophet,4872.339668582283,3579.861585025121,482.13634973466566,-8.284090630159483
ensemble,5225.593665514488,5043.938048456425,1354.0003924181426,-5.455244801806924
holt_winters,7012.811625468218,6452.896699709181,1870.4193812087926,-7.049445975802667
sarimax,7809.02137135389,7705.0554274835995,1766.0838734350418,-34.1099625482278
quantile_regression,11575.664013072383,10527.309523809463,3056.8375784628456,-35.607251487117416
