rmse,mae,mape,nrmse,r2,forecast_date,n_periods
5065.510724334041,3747.41772353287,71.91680070330958,75.22798737349558,-0.021757571851966695,2024-04-01,11
5108.574966074978,3670.768946501366,75.11022659655336,79.28260985605615,0.022524246957706495,2024-05-01,10
5366.260416140238,4100.446856422789,83.27882782275601,79.60892041021008,-0.0005223768882338664,2024-06-01,9
5537.970881298317,4036.9182638888888,48.86684319271119,74.32644999813199,-0.10156978502633596,2024-07-01,8
5844.586555543106,4393.771910638823,49.08543729265421,71.8929233465158,-0.21417847277451507,2024-08-01,7
5847.367193692469,4637.848978053279,49.56009132780015,65.93783484091644,-0.17879753624409656,2024-09-01,6
6528.528887278358,5692.748995886157,62.55559672072572,67.96727764880545,-0.3511761331184089,2024-10-01,5
7194.655258109629,6511.746934159837,60.164375493584,63.67374169179042,-1.0635448029068537,2024-11-01,4
7045.617435532083,6187.3983333333335,58.443141931752116,63.48928363149179,-0.49147536076315457,2024-12-01,3
8669.948764000108,8306.723302479511,54.45220969894295,58.148549725017496,-10.902771180056622,2025-01-01,2
10970.962736639347,10970.962736639347,62.96827605257044,62.96827605257044,,2025-02-01,1
