rmse,mae,mape,nrmse,r2,forecast_date,n_periods
2189.047590562036,1525.8081818181818,30.989611550337866,53.595805502542724,-0.24767146281156416,2024-04-01,11
2297.601162241828,1677.5550000000003,36.3375924263262,57.15283605486998,-0.26311121844052754,2024-05-01,10
2314.663826230736,1661.3833333333334,34.89219966364268,55.445476514629576,-0.21632438594799375,2024-06-01,9
2187.9260374403366,1633.529375,32.92469018498832,49.28732661144565,-0.10658018278079195,2024-07-01,8
2285.0658986003946,1706.5364285714284,32.44690530717231,48.348027113416634,-0.21876888383080262,2024-08-01,7
2386.916910646277,1884.7241666666669,35.534450731373305,48.78061740480827,-0.18612183902940682,2024-09-01,6
2578.14687247837,2066.91,36.66018236392413,48.3016125689143,-0.45162142320414755,2024-10-01,5
2825.1224751470954,2268.97875,33.3161765104179,46.53471380575021,-1.6304020010105438,2024-11-01,4
3067.3168577235383,2388.4750000000004,32.42702981206004,48.4797986047659,-1.4866793905506128,2024-12-01,3
3661.7535970778404,3150.4175000000005,39.810992937801075,51.002905454110184,-2.836430144120356,2025-01-01,2
4835.515,4835.515,53.43700961432203,53.43700961432203,,2025-02-01,1
