rmse,mae,mape,nrmse,r2,forecast_date,n_periods
5275.981703290717,3869.230721372463,78.35768074250926,78.3536955220104,-0.10842917423290555,2024-04-01,11
5337.365625457419,3917.2499494066747,83.3289932586528,82.8333301071998,-0.06699002691401779,2024-05-01,10
5747.78774321812,4464.266960756374,95.306056884807,85.26891009768588,-0.1478490023934762,2024-06-01,9
6076.863986233196,4377.3996067395465,52.893338444264245,81.55906502569424,-0.32638533438901773,2024-07-01,8
6254.444253975296,4682.23671308139,51.97564815996333,76.93448921543408,-0.3904404423850609,2024-08-01,7
6609.990548378313,5040.420772921812,50.655823996190605,74.5375569280369,-0.5063301291176034,2024-09-01,6
7609.158033887845,6573.203153594302,72.60419549102524,79.21750300755663,-0.8355005254275378,2024-10-01,5
7971.807937449676,7013.170133091589,61.86349443134702,70.55165552978893,-1.533422237372419,2024-11-01,4
7693.467547405729,6836.019129928186,64.76519359677171,69.32717362194278,-0.7783703928974197,2024-12-01,3
9311.96706824953,8924.348625293836,58.51149956290279,62.45450749999685,-12.730864634052352,2025-01-01,2
11291.63986080312,11291.63986080312,64.80881513403615,64.80881513403615,,2025-02-01,1
