model,rmse,mae,mape,r2
catboost,2867.7153915390572,2682.3945056076886,758.5811661085158,-1.0400345513087907
lightgbm,3486.0309962784286,3264.333069800374,993.5438476925684,-1.464794428803219
ensemble,3931.209908065564,3534.2374503843334,824.6010139877944,-3.2480671048481686
xgboost,4468.889673280789,4316.254345121838,1072.1077282344474,-5.231991889921052
prophet,4872.339668582283,3579.861585025121,482.13634973466566,-8.284090630159483
