Branch,Date,Quantity
SBD,2024-04-01,23800.0
SBD,2024-05-01,11574.0
SBD,2024-06-01,4836.0
SBD,2024-07-01,2046.0
SBD,2024-08-01,4804.0
SBD,2024-09-01,7592.0
SBD,2024-10-01,5985.0
SBD,2024-11-01,3931.0
SBD,2024-12-01,18238.0
SBD,2025-01-01,11019.0
SBD,2025-02-01,13489.0
SBD,2025-03-01,30585.0
