Branch,Date,Quantity
BLR,2024-04-01,6464.0
BLR,2024-05-01,4727.0
BLR,2024-06-01,2629.0
BLR,2024-07-01,2059.0
BLR,2024-08-01,2429.0
BLR,2024-09-01,3725.0
BLR,2024-10-01,2671.0
BLR,2024-11-01,2404.0
BLR,2024-12-01,5303.0
BLR,2025-01-01,4622.0
BLR,2025-02-01,5310.0
BLR,2025-03-01,9049.0
