Branch,total_rows,zero_rows,zero_pct,non_zero_rows,avg_quantity,max_quantity
SBD1,399.0,200.0,50.125313283208015,199.0,571.84335839599,7345.0
BLR,399.0,199.0,49.87468671679198,200.0,367.5764411027569,4388.0
COK,399.0,199.0,49.87468671679198,200.0,399.32706766917295,4605.0
MAA,399.0,199.0,49.87468671679198,200.0,1263.235588972431,20758.0
SBD,399.0,199.0,49.87468671679198,200.0,973.2894736842105,14374.0
