Model,MAE (mean),MAE (std),RMSE (mean),RMSE (std),MAPE (mean),MAPE (std),R² (mean),R² (std),Folds,NRMSE_mean % (mean),NRMSE_mean % (std),NRMSE_range % (mean),NRMSE_range % (std),NRMSE_std % (mean),NRMSE_std % (std),Rank_RMSE,Rank_MAE,Rank_R2,Overall_Rank
catboost,354.0011399449339,56.13190105419969,750.0671566663119,94.60981076186306,91.91097303032207,2.044456432151364,0.6341995349372366,0.028672467667107848,2,103.4545068243371,6.0983925300791455,11.867315618857717,1.4968852788350029,60.434902355757764,2.3721778764797037,1.0,1.0,1.0,1.0
xgboost,360.49712859228225,55.109147260551,755.5042862739265,94.67451481436296,88.2670764365538,4.925742811152368,0.6287499584393952,0.029715950567345162,2,104.22054570602018,6.23029887672579,11.95334009352073,1.4979090050520636,60.88139682421801,2.4404787108567447,2.0,2.0,2.0,2.0
lightgbm,370.654570447291,60.050009314086225,764.6918925257444,105.9227361652392,93.52757021423528,2.239293224444914,0.6216901576742034,0.02015944515006385,2,105.22604085978602,4.880393274338282,12.09870337493237,1.675874660174073,61.48504585130894,1.6393779065251053,3.0,3.0,3.0,3.0
ensemble,2770.619730541659,653.25929318321,3070.365593579092,749.071011753952,599.9311934687873,75.88785073190002,-4.920297935431197,0.9727631754486823,2,414.10123332558805,26.12091197648033,48.578313608916645,11.851554942000949,242.48847178765385,20.05792622381911,4.0,4.0,4.0,4.0
prophet,11065.734919679297,2699.7008605982073,12179.067325298514,3069.6870847511273,2231.4436960117073,290.74651537834404,-92.03110023274847,16.839692121553938,2,1640.0427331792553,117.5042752468969,192.69319368016826,48.56757846561638,960.5347965365418,87.65789736235388,5.0,5.0,5.0,5.0
