Date,Branch,forecast
2025-04-07,BLR,1.3584778628658443
2025-04-07,COK,1.3584778628658443
2025-04-07,MAA,0.0
2025-04-07,SBD,14.144561679267506
2025-04-07,SBD1,0.0
2025-04-14,BLR,1226.9803810552153
2025-04-14,COK,1233.8272182086048
2025-04-14,MAA,1661.6847002881314
2025-04-14,SBD,1468.4125632689218
2025-04-14,SBD1,1401.7808335233462
2025-04-21,BLR,13.904238061069384
2025-04-21,COK,13.904238061069384
2025-04-21,MAA,0.0
2025-04-21,SBD,14.144561679267506
2025-04-21,SBD1,0.0
2025-04-28,BLR,1239.9615498508995
2025-04-28,COK,567.4964014962688
2025-04-28,MAA,1530.0793178935596
2025-04-28,SBD,1456.393139707578
2025-04-28,SBD1,1167.3574053740372
2025-05-05,BLR,13.731307645250723
2025-05-05,COK,1.1855474470471856
2025-05-05,MAA,14.38680043300564
2025-05-05,SBD,17.179355092825208
2025-05-05,SBD1,13.731307645250723
2025-05-12,BLR,1142.6584942106292
2025-05-12,COK,287.10706227680123
2025-05-12,MAA,1213.1437885468965
2025-05-12,SBD,1230.4862871555829
2025-05-12,SBD1,446.9297877633948
2025-05-19,BLR,7.424214649179988
2025-05-19,COK,3.995747369688355
2025-05-19,MAA,14.38680043300564
2025-05-19,SBD,17.179355092825208
2025-05-19,SBD1,1.1855474470471856
2025-05-26,BLR,1077.1677810343085
2025-05-26,COK,535.9592842856164
2025-05-26,MAA,1371.0696903900762
2025-05-26,SBD,1246.515905213246
2025-05-26,SBD1,549.0440688250633
2025-06-02,BLR,3.800026813919743
2025-06-02,COK,0.9898268912785734
2025-06-02,MAA,17.398803706613393
2025-06-02,SBD,16.9836345370566
2025-06-02,SBD1,3.800026813919743
2025-06-09,BLR,923.0801720434936
2025-06-09,COK,351.2887432629054
2025-06-09,MAA,1054.97877916989
2025-06-09,SBD,917.3793430791711
2025-06-09,SBD1,567.5585160152419
2025-06-16,BLR,2.315356971677269
2025-06-16,COK,0.9898268912785734
2025-06-16,MAA,17.398803706613393
2025-06-16,SBD,4.437874338853049
2025-06-16,SBD1,0.9898268912785734
2025-06-23,BLR,299.8782442819487
2025-06-23,COK,260.62063285511806
2025-06-23,MAA,816.171959402394
2025-06-23,SBD,863.4989478517248
2025-06-23,SBD1,589.2650528626581
2025-06-30,BLR,0.9898268912785734
2025-06-30,COK,0.9898268912785734
2025-06-30,MAA,4.8530435084098436
2025-06-30,SBD,4.437874338853049
2025-06-30,SBD1,0.9898268912785734
2025-07-07,BLR,267.497931069972
2025-07-07,COK,508.35360381452585
2025-07-07,MAA,699.5285509708933
2025-07-07,SBD,542.0388088156452
2025-07-07,SBD1,479.4736293683062
2025-07-14,BLR,0.9898268912785734
2025-07-14,COK,0.9898268912785734
2025-07-14,MAA,4.8530435084098436
2025-07-14,SBD,1.6276744162118777
2025-07-14,SBD1,0.9898268912785734
2025-07-21,BLR,339.8202740068562
2025-07-21,COK,538.5453206891849
2025-07-21,MAA,454.05509818943926
2025-07-21,SBD,549.2712538849158
2025-07-21,SBD1,359.70835046260953
2025-07-28,BLR,0.9898268912785734
2025-07-28,COK,0.9898268912785734
2025-07-28,MAA,2.0428435857686726
2025-07-28,SBD,1.6276744162118777
2025-07-28,SBD1,0.9898268912785734
2025-08-04,BLR,445.50301293284343
2025-08-04,COK,403.04348012029226
2025-08-04,MAA,552.3750706276567
2025-08-04,SBD,441.12765525147023
2025-08-04,SBD1,448.08033850197256
2025-08-11,BLR,0.9898268912785734
2025-08-11,COK,0.9898268912785734
2025-08-11,MAA,2.0428435857686726
2025-08-11,SBD,1.6276744162118777
2025-08-11,SBD1,0.9898268912785734
2025-08-18,BLR,407.56650604887085
2025-08-18,COK,453.59945312373395
2025-08-18,MAA,578.3933994953934
2025-08-18,SBD,402.8918622627225
2025-08-18,SBD1,554.6702208406531
2025-08-25,BLR,0.9898268912785734
2025-08-25,COK,0.9898268912785734
2025-08-25,MAA,2.0428435857686726
2025-08-25,SBD,1.6276744162118777
2025-08-25,SBD1,0.9898268912785734
2025-09-01,BLR,433.523074689926
2025-09-01,COK,580.1404684414163
2025-09-01,MAA,486.334791790905
2025-09-01,SBD,499.62313063683416
2025-09-01,SBD1,529.0956385328418
2025-09-08,BLR,0.9898268912785734
2025-09-08,COK,0.9898268912785734
2025-09-08,MAA,2.0428435857686726
2025-09-08,SBD,1.6276744162118777
2025-09-08,SBD1,0.9898268912785734
2025-09-15,BLR,498.1944006707475
2025-09-15,COK,476.4184676788833
2025-09-15,MAA,521.0891028518079
2025-09-15,SBD,594.6041715712706
2025-09-15,SBD1,458.66719172445084
2025-09-22,BLR,0.9898268912785734
2025-09-22,COK,0.9898268912785734
2025-09-22,MAA,2.0428435857686726
2025-09-22,SBD,1.6276744162118777
2025-09-22,SBD1,0.9898268912785734
2025-09-29,BLR,543.7731355884711
2025-09-29,COK,336.9007914497185
2025-09-29,MAA,555.4323387212391
2025-09-29,SBD,542.7973656291878
2025-09-29,SBD1,478.2497107722687
2025-10-06,BLR,0.9898268912785734
2025-10-06,COK,0.9898268912785734
2025-10-06,MAA,2.0428435857686726
2025-10-06,SBD,1.6276744162118777
2025-10-06,SBD1,0.9898268912785734
2025-10-13,BLR,234.48865241138813
2025-10-13,COK,288.2002105700408
2025-10-13,MAA,518.914741867488
2025-10-13,SBD,193.072146613659
2025-10-13,SBD1,301.381514498447
2025-10-20,BLR,0.9898268912785734
2025-10-20,COK,0.9898268912785734
2025-10-20,MAA,2.0428435857686726
2025-10-20,SBD,1.6276744162118777
2025-10-20,SBD1,0.9898268912785734
2025-10-27,BLR,350.5905385081324
2025-10-27,COK,379.70716421536736
2025-10-27,MAA,502.43806282080425
2025-10-27,SBD,428.48350611077143
2025-10-27,SBD1,433.64287147685366
2025-11-03,BLR,0.9898268912785734
2025-11-03,COK,0.9898268912785734
2025-11-03,MAA,2.0428435857686726
2025-11-03,SBD,1.6276744162118777
2025-11-03,SBD1,0.9898268912785734
2025-11-10,BLR,120.56547393596604
2025-11-10,COK,381.3679514041671
2025-11-10,MAA,503.1186021181292
2025-11-10,SBD,270.02205402364837
2025-11-10,SBD1,441.6557252909165
2025-11-17,BLR,0.9898268912785734
2025-11-17,COK,0.9898268912785734
2025-11-17,MAA,2.0428435857686726
2025-11-17,SBD,1.6276744162118777
2025-11-17,SBD1,0.9898268912785734
2025-11-24,BLR,446.2504534509217
2025-11-24,COK,596.0277974542425
2025-11-24,MAA,588.0847617410483
2025-11-24,SBD,587.9623119537337
2025-11-24,SBD1,562.4066810748157
2025-12-01,BLR,0.9898268912785734
2025-12-01,COK,0.9898268912785734
2025-12-01,MAA,2.0428435857686726
2025-12-01,SBD,1.6276744162118777
2025-12-01,SBD1,0.9898268912785734
2025-12-08,BLR,805.8410760634517
2025-12-08,COK,677.4580783526226
2025-12-08,MAA,656.8837913716061
2025-12-08,SBD,965.3807360206603
2025-12-08,SBD1,624.8261816668172
2025-12-15,BLR,2.167785660095709
2025-12-15,COK,2.167785660095709
2025-12-15,MAA,9.55777671150768
2025-12-15,SBD,9.142607541950886
2025-12-15,SBD1,2.167785660095709
2025-12-22,BLR,675.2292558495432
2025-12-22,COK,764.077789508849
2025-12-22,MAA,879.1868509514519
2025-12-22,SBD,824.0109338655446
2025-12-22,SBD1,852.9213175556781
2025-12-29,BLR,1.6264825278213575
2025-12-29,COK,1.6264825278213575
2025-12-29,MAA,2.6794992223114567
2025-12-29,SBD,2.2643300527546617
2025-12-29,SBD1,1.6264825278213575
2026-01-05,BLR,789.8397345378609
2026-01-05,COK,851.8627985964514
2026-01-05,MAA,907.3059537885897
2026-01-05,SBD,1085.8486776151256
2026-01-05,SBD1,809.9009229670168
2026-01-12,BLR,1.7994129436400161
2026-01-12,COK,1.7994129436400161
2026-01-12,MAA,4.177959718528812
2026-01-12,SBD,3.762790548972018
2026-01-12,SBD1,1.7994129436400161
2026-01-19,BLR,547.1176929761124
2026-01-19,COK,576.7349772078297
2026-01-19,MAA,1258.6398515458727
2026-01-19,SBD,1252.116236743719
2026-01-19,SBD1,939.7362735480764
2026-01-26,BLR,1.7994129436400161
2026-01-26,COK,1.7994129436400161
2026-01-26,MAA,2.852429638130116
2026-01-26,SBD,5.8657277480649554
2026-01-26,SBD1,1.7994129436400161
2026-02-02,BLR,881.3159685710415
2026-02-02,COK,898.1529796267749
2026-02-02,MAA,1388.8901112347626
2026-02-02,SBD,1368.7849366001594
2026-02-02,SBD1,1190.3947086672033
2026-02-09,BLR,1.7994129436400161
2026-02-09,COK,1.7994129436400161
2026-02-09,MAA,15.398189836333657
2026-02-09,SBD,14.983020666776861
2026-02-09,SBD1,1.7994129436400161
2026-02-16,BLR,407.23534295737306
2026-02-16,COK,489.97054580646176
2026-02-16,MAA,895.8823625828501
2026-02-16,SBD,653.4905580669276
2026-02-16,SBD1,962.1454377794985
2026-02-23,BLR,1.7994129436400161
2026-02-23,COK,1.7994129436400161
2026-02-23,MAA,2.852429638130116
2026-02-23,SBD,2.4372604685733212
2026-02-23,SBD1,1.7994129436400161
2026-03-02,BLR,505.4794005833505
2026-03-02,COK,615.5314658615908
2026-03-02,MAA,1418.7645811061868
2026-03-02,SBD,698.211665164692
2026-03-02,SBD1,1419.4945512947218
2026-03-09,BLR,1.7994129436400161
2026-03-09,COK,1.7994129436400161
2026-03-09,MAA,9.091096840262916
2026-03-09,SBD,5.247460391214493
2026-03-09,SBD1,5.22788022313165
2026-03-16,BLR,440.30327557267844
2026-03-16,COK,1003.7922303508417
2026-03-16,MAA,1557.996932492681
2026-03-16,SBD,629.6501465253205
2026-03-16,SBD1,1140.419370706512
2026-03-23,BLR,1.3584778628658443
2026-03-23,COK,1.3584778628658443
2026-03-23,MAA,14.957254755559486
2026-03-23,SBD,1.9963253877991494
2026-03-23,SBD1,13.904238061069384
2026-03-30,BLR,608.4211565843244
2026-03-30,COK,961.7534680268275
2026-03-30,MAA,1509.960984028707
2026-03-30,SBD,824.51802721355
2026-03-30,SBD1,1434.7655301144948
