date,forecast
2025-04-28,5092.4700523726015
2025-05-05,5537.132189186308
2025-05-12,5256.539244880756
2025-05-19,5371.304629641259
2025-05-26,6356.188899223355
2025-06-02,5560.851679082954
2025-06-09,5929.4944672653955
2025-06-16,5385.142560948138
2025-06-23,6435.418397229719
2025-06-30,6191.195794166638
2025-07-07,5967.977926279246
2025-07-14,5605.856869407004
2025-07-21,5288.736402254786
2025-07-28,5733.398539068494
2025-08-04,5452.805594762942
2025-08-11,5567.570979523445
2025-08-18,6552.45524910554
2025-08-25,5757.118028965139
2025-09-01,6125.760817147581
2025-09-08,5581.408910830323
2025-09-15,6631.684747111904
2025-09-22,6387.462144048823
2025-09-29,6164.244276161431
2025-10-06,5802.123219289189
2025-10-13,5485.002752136971
2025-10-20,5929.664888950679
2025-10-27,5649.071944645126
2025-11-03,5763.837329405631
2025-11-10,6748.721598987726
2025-11-17,5953.384378847324
2025-11-24,6322.027167029766
2025-12-01,5777.675260712509
2025-12-08,6827.951096994088
2025-12-15,6583.728493931008
2025-12-22,6360.510626043616
2025-12-29,5998.389569171374
2026-01-05,5681.269102019156
2026-01-12,6125.9312388328635
2026-01-19,5845.3382945273115
2026-01-26,5960.103679287815
2026-02-02,6944.987948869911
2026-02-09,6149.65072872951
2026-02-16,6518.293516911951
2026-02-23,5973.941610594694
2026-03-02,7024.217446876273
2026-03-09,6779.994843813193
2026-03-16,6556.776975925802
2026-03-23,6194.655919053559
2026-03-30,5877.535451901342
2026-04-06,6322.197588715048
2026-04-13,6041.604644409497
