date,forecast
2025-04-28,19272.55239440891
2025-05-05,15792.632929557622
2025-05-12,14598.509676905856
2025-05-19,13328.297261022924
2025-05-26,10641.46317878051
2025-06-02,7916.313765020372
2025-06-09,7064.951467170203
2025-06-16,7714.679641585361
2025-06-23,7625.10814764486
2025-06-30,5716.103098773504
2025-07-07,3582.891861899955
2025-07-14,3451.3651789925048
2025-07-21,5292.752342907281
2025-07-28,6903.095336138274
2025-08-04,6777.212892092062
2025-08-11,5922.616023257886
2025-08-18,6265.9188150869295
2025-08-25,7923.727477737036
2025-09-01,9096.530439599259
2025-09-08,8686.80730716532
2025-09-15,7921.692798280671
2025-09-22,8573.013009722756
2025-09-29,10164.136201719133
2025-10-06,10245.302496017173
2025-10-13,7768.238928959605
2025-10-20,5040.815789470877
2025-10-27,5123.615772630054
2025-11-03,7611.506676903064
2025-11-10,8579.166800553638
2025-11-17,5639.7723292888895
2025-11-24,2113.2289489359796
2025-12-01,4358.0984598032
2025-12-08,14308.167029024455
2025-12-15,25782.00516968104
2025-12-22,29677.06349673692
2025-12-29,23041.248316516358
2026-01-05,12112.724198810873
2026-01-12,5920.258917977123
2026-01-19,7585.54734528249
2026-01-26,12725.222984502732
2026-02-02,15819.25211069008
2026-02-09,16416.849833848228
2026-02-16,18145.702004722574
2026-02-23,22770.20206482319
2026-03-02,27360.928370457757
2026-03-09,28115.37135646045
2026-03-16,25638.118613006292
