date,forecast
2025-04-28,2575.224323680137
2025-05-05,2249.4232574310245
2025-05-12,2841.0861926006173
2025-05-19,3071.305706316346
2025-05-26,2402.742292522574
2025-06-02,1540.2167720341474
2025-06-09,1336.7793425300458
2025-06-16,1669.3939818578485
2025-06-23,1717.1747741626955
2025-06-30,1137.2972336610733
2025-07-07,509.3504179090624
2025-07-14,504.94733451243854
2025-07-21,974.7563511178855
2025-07-28,1197.9489773350288
2025-08-04,910.118044691801
2025-08-11,666.0443437047237
2025-08-18,1033.5938092754536
2025-08-25,1748.5081347398498
2025-09-01,2034.078278635221
2025-09-08,1677.5682648613729
2025-09-15,1360.9030025441145
2025-09-22,1721.117682623494
2025-09-29,2397.097942480536
2025-10-06,2442.1963160087394
2025-10-13,1649.8644574539694
2025-10-20,974.4711815337198
2025-10-27,1308.9913104654681
2025-11-03,2149.631543288841
2025-11-10,2084.2357010706223
2025-11-17,770.2359568190733
2025-11-24,-104.7280599454352
2025-12-01,1529.7442793608811
2025-12-08,5491.660304720478
2025-12-15,8918.390853057917
2025-12-22,8938.859127537107
2025-12-29,5665.610150528078
2026-01-05,2121.8565524000255
2026-01-12,1117.6530723400938
2026-01-19,2569.552034502264
2026-01-26,4175.086254070622
2026-02-02,4394.154522788863
2026-02-09,4095.0666673530186
2026-02-16,5044.55134647464
2026-02-23,7333.596025884829
2026-03-02,9036.171375719763
2026-03-09,8515.417690973203
2026-03-16,6473.371917101966
