Branch,Month,Forecast_Total,Monthly_Share_Pct,Monthly_Value
BLR,1,59140.239749953755,9.513058967921324,5626.045881183148
BLR,2,59140.239749953755,9.984753847318188,5905.007363746708
BLR,3,59140.239749953755,18.941106145563936,11201.815585779736
BLR,4,59140.239749953755,11.781229678832005,6967.447477553955
BLR,5,59140.239749953755,8.396857093388547,4965.921416490985
BLR,6,59140.239749953755,4.959002039511915,2932.765695372443
BLR,7,59140.239749953755,3.671743504243068,2171.4779114127036
BLR,8,59140.239749953755,5.338186744928862,3157.016439251181
BLR,9,59140.239749953755,7.395600906510765,4373.776107060219
BLR,10,59140.239749953755,5.428896130710271,3210.662187478017
BLR,11,59140.239749953755,5.082132167933651,3005.5851485254834
BLR,12,59140.239749953755,9.50743277313586,5622.718536098225
COK,1,81091.98225968528,4.944253299373486,4009.3930084018507
COK,2,81091.98225968528,12.426739758131589,10077.089600121324
COK,3,81091.98225968528,18.750995776881155,15205.554168902801
COK,4,81091.98225968528,17.89717008966545,14513.169994097207
COK,5,81091.98225968528,8.49228188778443,6886.559721884615
COK,6,81091.98225968528,1.5332499978176202,1243.3428162268895
COK,7,81091.98225968528,4.03509023572974,3272.134658120254
COK,8,81091.98225968528,7.749212290637274,6283.989855988929
COK,9,81091.98225968528,7.0785441601459524,5740.131774589544
COK,10,81091.98225968528,2.9673626622193296,2406.2932036274233
COK,11,81091.98225968528,4.42889732335243,3591.4806317526286
COK,12,81091.98225968528,9.69620251825745,7862.842825968489
MAA,1,197530.2819917168,7.697015403505702,15203.936231490692
MAA,2,197530.2819917168,8.806531482982606,17395.56647202486
MAA,3,197530.2819917168,12.754416799739602,25193.835470924536
MAA,4,197530.2819917168,19.17049605661964,37867.53491985172
MAA,5,197530.2819917168,11.593987771104366,22901.636738347617
MAA,6,197530.2819917168,3.7655577915170397,7438.116924144672
MAA,7,197530.2819917168,3.343956725966109,6605.327150481835
MAA,8,197530.2819917168,4.574219821948759,9035.46931321639
MAA,9,197530.2819917168,5.734488236179857,11327.350783707898
MAA,10,197530.2819917168,4.461630071499144,8813.070461659494
MAA,11,197530.2819917168,3.7405494235268506,7388.717824332124
MAA,12,197530.2819917168,14.357150415409706,28359.71970153373
SBD,1,155263.556308171,7.320361145614726,11365.853049282992
SBD,2,155263.556308171,9.0679689743356,14079.251114475031
SBD,3,155263.556308171,23.515052404038215,36510.30663023979
SBD,4,155263.556308171,14.005404878657146,21745.28968996117
SBD,5,155263.556308171,8.449829007372955,13119.505018806676
SBD,6,155263.556308171,3.58919941977706,5572.718662138103
SBD,7,155263.556308171,1.378488546793733,2140.290341052776
SBD,8,155263.556308171,3.7056662066769377,5753.5491373967125
SBD,9,155263.556308171,5.48839376318756,8521.475340920862
SBD,10,155263.556308171,5.1363802417724855,7974.926628886194
SBD,11,155263.556308171,3.717836659456651,5772.445415201301
SBD,12,155263.556308171,14.625418752319092,22707.945279812757
SBD1,1,109771.359375,3.123349679137391,3428.54345703125
SBD1,2,109771.359375,11.889819511921758,13051.6171875
SBD1,3,109771.359375,20.429713302948585,22425.974609375
SBD1,4,109771.359375,19.829134305688058,21766.7109375
SBD1,5,109771.359375,10.154239463978087,11146.447265625
SBD1,6,109771.359375,4.620293603730715,5071.7587890625
SBD1,7,109771.359375,0.9129989595808183,1002.21142578125
SBD1,8,109771.359375,2.9670917614971586,3257.01708984375
SBD1,9,109771.359375,3.5931728085010946,3944.274658203125
SBD1,10,109771.359375,6.614938240130982,7261.3076171875
SBD1,11,109771.359375,3.418439498393127,3752.467529296875
SBD1,12,109771.359375,12.446808864489412,13663.03125
