Date,Forecast
2024-04-08,1428.0599
2024-04-15,1846.0605
2024-04-22,1884.4768
2024-04-29,1742.4894
2024-05-06,2317.845
2024-05-13,2573.2485
2024-05-20,2514.2163
2024-05-27,2300.3
2024-06-03,2329.5427
2024-06-10,2411.683
2024-06-17,2450.9773
2024-06-24,2367.4224
2024-07-01,2403.7285
2024-07-08,2403.7285
2024-07-15,2357.497
2024-07-22,2393.8032
2024-07-29,2393.8032
2024-08-05,2393.8032
2024-08-12,2393.8032
2024-08-19,2393.8032
2024-08-26,2393.8032
2024-09-02,2393.8032
2024-09-09,2393.8032
2024-09-16,2393.8032
2024-09-23,2393.8032
2024-09-30,2393.8032
2024-10-07,2393.8032
2024-10-14,2393.8032
2024-10-21,2393.8032
2024-10-28,2393.8032
2024-11-04,2393.8032
2024-11-11,2393.8032
2024-11-18,2393.8032
2024-11-25,2393.8032
2024-12-02,2393.8032
2024-12-09,2393.8032
2024-12-16,2393.8032
2024-12-23,2393.8032
2024-12-30,2438.7366
2025-01-06,2433.5771
2025-01-13,2435.6792
2025-01-20,2436.8218
2025-01-27,2436.8218
2025-02-03,2438.0347
2025-02-10,2438.0347
2025-02-17,2438.0347
2025-02-24,2438.0347
2025-03-03,2436.647
2025-03-10,2436.647
2025-03-17,2436.647
2025-03-24,2408.895
2025-03-31,2408.895
