combination_id,state,star_rating,tonnage,status,data_points,training_points,test_points,is_stationary,best_params,mae,mse,rmse,mape,predictions,error_message
22,Karnataka,3 Star,2.2,success,42,24,6,True,"(0, 0, 0, 0, 0, 0)",6.205406558971541e-13,4.099552352252554e-25,6.402774673727441e-13,3.4113361163722315e-13,"[{'date': '2025-01', 'predicted': 141.99999999999926, 'actual': 142.0, 'error': -7.389644451905042e-13}, {'date': '2025-02', 'predicted': 210.99999999999937, 'actual': 211.0, 'error': -6.252776074688882e-13}, {'date': '2025-03', 'predicted': 313.99999999999926, 'actual': 314.0, 'error': -7.389644451905042e-13}, {'date': '2025-04', 'predicted': 253.9999999999992, 'actual': 254.0, 'error': -7.958078640513122e-13}, {'date': '2025-05', 'predicted': 137.99999999999955, 'actual': 138.0, 'error': -4.547473508864641e-13}, {'date': '2025-06', 'predicted': 104.99999999999963, 'actual': 105.0, 'error': -3.694822225952521e-13}]",
0,Karnataka,3 Star,2.6,error,0,0,0,,,,,,,[],Insufficient data: 8 months
24,Karnataka,5 Star,1.0,success,42,24,6,True,"(0, 0, 0, 0, 0, 0)",8.194926219099822e-13,8.537031680010983e-25,9.239605879046456e-13,4.36332639445447e-13,"[{'date': '2025-01', 'predicted': 255.9999999999992, 'actual': 256.0, 'error': -7.958078640513122e-13}, {'date': '2025-02', 'predicted': 256.99999999999955, 'actual': 257.0, 'error': -4.547473508864641e-13}, {'date': '2025-03', 'predicted': 614.9999999999992, 'actual': 615.0, 'error': -7.958078640513122e-13}, {'date': '2025-04', 'predicted': 147.99999999999852, 'actual': 148.0, 'error': -1.4779288903810084e-12}, {'date': '2025-05', 'predicted': 150.9999999999988, 'actual': 151.0, 'error': -1.1937117960769683e-12}, {'date': '2025-06', 'predicted': 93.9999999999998, 'actual': 94.0, 'error': -1.9895196601282805e-13}]",
25,Karnataka,5 Star,1.5,success,42,24,6,True,"(0, 0, 0, 0, 0, 0)",4.367469349138749e-12,1.9650386309536085e-23,4.432875625317733e-12,1.2574397639923235e-12,"[{'date': '2025-01', 'predicted': 625.9999999999969, 'actual': 626.0, 'error': -3.069544618483633e-12}, {'date': '2025-02', 'predicted': 866.9999999999961, 'actual': 867.0, 'error': -3.865352482534945e-12}, {'date': '2025-03', 'predicted': 1152.9999999999948, 'actual': 1153.0, 'error': -5.229594535194337e-12}, {'date': '2025-04', 'predicted': 250.99999999999523, 'actual': 251.0, 'error': -4.774847184307873e-12}, {'date': '2025-05', 'predicted': 335.9999999999949, 'actual': 336.0, 'error': -5.115907697472721e-12}, {'date': '2025-06', 'predicted': 151.99999999999585, 'actual': 152.0, 'error': -4.149569576838985e-12}]",
26,Karnataka,5 Star,1.8,success,41,23,6,True,"(0, 0, 0, 0, 0, 0)",5.033011044967376e-14,5.875436022086096e-27,7.665139282548032e-14,1.2542629608599862e-13,"[{'date': '2025-01', 'predicted': 141.0, 'actual': 141.0, 'error': 0.0}, {'date': '2025-02', 'predicted': 141.0, 'actual': 141.0, 'error': 0.0}, {'date': '2025-03', 'predicted': 46.0, 'actual': 46.0, 'error': 0.0}, {'date': '2025-04', 'predicted': 31.999999999999886, 'actual': 32.0, 'error': -1.1368683772161603e-13}, {'date': '2025-05', 'predicted': 100.99999999999986, 'actual': 101.0, 'error': -1.4210854715202004e-13}, {'date': '2025-06', 'predicted': 18.000000000000046, 'actual': 18.0, 'error': 4.618527782440651e-14}]",
27,Kerala,1 Star,1.8,success,35,17,6,False,"(0, 0, 0, 0, 0, 0)",1.557272829207553e-13,3.205299630094015e-26,1.7903350608458783e-13,1.0249946662222456e-12,"[{'date': '2025-01', 'predicted': 99.00000000000004, 'actual': 99.0, 'error': 4.263256414560601e-14}, {'date': '2025-02', 'predicted': 87.00000000000007, 'actual': 87.0, 'error': 7.105427357601002e-14}, {'date': '2025-03', 'predicted': 5.000000000000142, 'actual': 5.0, 'error': 1.4210854715202004e-13}, {'date': '2025-04', 'predicted': 35.0000000000003, 'actual': 35.0, 'error': 2.984279490192421e-13}, {'date': '2025-05', 'predicted': 21.000000000000234, 'actual': 21.0, 'error': 2.3447910280083306e-13}, {'date': '2025-06', 'predicted': 12.000000000000146, 'actual': 12.0, 'error': 1.4566126083082054e-13}]",
0,Kerala,2 Star,1.8,error,0,0,0,,,,,,,[],Insufficient data: 4 months
29,Kerala,3 Star,0.8,success,36,18,6,True,"(0, 0, 0, 0, 0, 0)",1.3115434664238515e-13,2.1827781247465397e-26,1.4774227982356777e-13,4.1508977530705533e-13,"[{'date': '2025-01', 'predicted': 43.999999999999964, 'actual': 44.0, 'error': -3.552713678800501e-14}, {'date': '2025-02', 'predicted': 130.00000000000009, 'actual': 130.0, 'error': 8.526512829121202e-14}, {'date': '2025-03', 'predicted': 126.00000000000009, 'actual': 126.0, 'error': 8.526512829121202e-14}, {'date': '2025-04', 'predicted': 75.00000000000023, 'actual': 75.0, 'error': 2.2737367544323206e-13}, {'date': '2025-05', 'predicted': 35.0000000000002, 'actual': 35.0, 'error': 1.9895196601282805e-13}, {'date': '2025-06', 'predicted': 10.999999999999845, 'actual': 11.0, 'error': -1.545430450278218e-13}]",
0,Kerala,3 Star,0.9,error,0,0,0,,,,,,,[],Exception during evaluation: too many values to unpack (expected 3)
31,Kerala,3 Star,1.0,success,42,24,6,True,"(0, 0, 0, 0, 0, 0)",2.3684757858670005e-12,8.265343776994706e-24,2.8749510912352417e-12,1.1832050012263814e-13,"[{'date': '2025-01', 'predicted': 1530.0000000000014, 'actual': 1530.0, 'error': 1.3642420526593924e-12}, {'date': '2025-02', 'predicted': 2635.0000000000014, 'actual': 2635.0, 'error': 1.3642420526593924e-12}, {'date': '2025-03', 'predicted': 4116.000000000004, 'actual': 4116.0, 'error': 3.637978807091713e-12}, {'date': '2025-04', 'predicted': 2120.0000000000055, 'actual': 2120.0, 'error': 5.4569682106375694e-12}, {'date': '2025-05', 'predicted': 1425.0000000000011, 'actual': 1425.0, 'error': 1.1368683772161603e-12}, {'date': '2025-06', 'predicted': 872.0000000000013, 'actual': 872.0, 'error': 1.2505552149377763e-12}]",
