Location,Strategy,MAE,RMSE,MAPE,R2
Bangalore,Simple Average,2698.2925201271737,4118.904212900442,45.617195746665686,-1.8046695329920937
Bangalore,Weighted Average,2698.2925201271737,4118.904212900444,45.617195746665686,-1.8046695329920959
Bangalore,Performance Weighted,1761.7288473009357,2423.3261246830266,30.47550673792478,0.029172565284181218
Bangalore,Median Ensemble,1659.6119117124424,2207.886071346422,29.605664763982766,0.1941176735377207
Bangalore,Trimmed Mean (10%),1886.895716360256,2739.0841847145116,31.514355546519347,-0.24030665163176423
Bangalore,Trimmed Mean (20%),1796.4232962747994,2506.0573604673605,31.017639771948442,-0.03824614332202336
Chennai,Simple Average,6033.5956512407765,14456.19497022451,35.45859230657355,-5.49894736199804
Chennai,Weighted Average,6033.595651240779,14456.19497022451,35.45859230657355,-5.49894736199804
Chennai,Performance Weighted,3122.8897116853805,3669.0759322788354,19.465669007165268,0.5813525743965837
Chennai,Median Ensemble,3918.239028086349,4741.594151845262,23.804338811150906,0.3008283941714014
Chennai,Trimmed Mean (10%),2791.8259085981863,3250.0295305336076,17.764272721114494,0.6715194646652756
Chennai,Trimmed Mean (20%),2898.7254839560105,3362.241051005664,17.765049018658996,0.6484454539584922
Cochin,Simple Average,3870.8696114446193,4538.951463160592,58.249640497547226,-0.3710044993805517
Cochin,Weighted Average,3870.8696114446175,4538.951463160591,58.249640497547205,-0.3710044993805508
Cochin,Performance Weighted,3684.4414666781645,4417.935067146985,52.79399485001347,-0.2988723139937004
Cochin,Median Ensemble,3462.243488746654,4302.559224749461,47.19162876299822,-0.23191719444253867
Cochin,Trimmed Mean (10%),3629.6548106326104,4354.771769516283,51.87430184012894,-0.26199780766193403
Cochin,Trimmed Mean (20%),3502.129149179713,4266.453738777888,49.080675086351214,-0.21132835829246854
Secunderabad,Simple Average,7334.801454365588,12576.332207200627,51.32696043318069,-0.8669869559230903
Secunderabad,Weighted Average,7334.801454365588,12576.332207200627,51.32696043318069,-0.86698695592309
Secunderabad,Performance Weighted,5054.281005346922,8329.169979194869,33.88957661260672,0.1810889482952842
Secunderabad,Median Ensemble,5109.1828730364505,8205.895358429887,34.15648338074891,0.2051499039389676
Secunderabad,Trimmed Mean (10%),4838.950324445786,8251.161967397715,32.19708867686491,0.19635637037525167
Secunderabad,Trimmed Mean (20%),5000.514064385668,8183.388014436263,33.34229469530181,0.20950419539022214
Vijaywada,Simple Average,2832.7411281008212,3863.405155947905,36.608032508184785,-0.022109446675111943
Vijaywada,Weighted Average,2832.7411281008203,3863.405155947903,36.60803250818478,-0.022109446675111055
Vijaywada,Performance Weighted,3191.5902038782183,4079.3662292704194,40.64593228890776,-0.1395733509450532
Vijaywada,Median Ensemble,3805.517325444726,4551.25003968841,49.1738256636701,-0.4184638871715909
Vijaywada,Trimmed Mean (10%),3221.9502908340364,4099.842180196032,41.2761531529101,-0.15104199955208641
Vijaywada,Trimmed Mean (20%),3721.8883307793803,4502.430848716892,48.375669060376936,-0.38819665883290067
