Model_Type,Model_Name,MAE,RMSE,MAPE,R2,Training_Time,Location
ML,Gradient Boosting,4672.800484745624,7899.091265565887,32.72639717991731,0.26347491090878783,0.060581,Secunderabad
ML,AdaBoost,5514.568150252525,8265.8357513904,36.85761111585628,0.19349544511388128,0.13385,Secunderabad
ML,Extra Trees,5336.775833333334,8121.802127372451,34.98259171926812,0.22135752471971903,0.125197,Secunderabad
ML,XGBoost,5456.7739664713545,8271.865433282232,42.15696844519668,0.19231837367156046,0.136854,Secunderabad
ML,LightGBM,6464.742857142856,10675.980956990023,42.202865347558074,-0.3453920679536413,0.010294,Secunderabad
ML,CatBoost,5356.616718194808,8254.890812788406,35.34793714209376,0.19562984483175072,1.009888,Secunderabad
ML,SVR,8055.890628907128,11880.795334580751,50.564947749643586,-0.6661891844205559,0.002008,Secunderabad
ML,KNN,5897.033333333333,9201.158303894861,37.243297129880624,0.0006484569318797595,0.007597,Secunderabad
Deep Learning,LSTM,12253.814008712769,12816.098897985737,99.86648899941994,-10.653199674555966,10.199948,Secunderabad
Deep Learning,GRU,12257.036161899567,12819.074304818507,99.89538085283569,-10.658611155082632,8.565673,Secunderabad
Deep Learning,Feed-Forward NN,14075.482629577318,16810.382022062335,99.83287731684852,-2.335711237879939,9.941831,Secunderabad
Deep Learning,Transformer,14089.364009254923,16824.87165705925,99.94355250187293,-2.341464119467025,10.197295,Secunderabad
Deep Learning,TCN,14083.378009036183,16816.908190260343,99.91145860309449,-2.33830173680584,9.923963,Secunderabad
Time Series,ARIMA,6488.997351094105,10449.914680446105,,-0.2890173745111053,0.059675,Secunderabad
Time Series,SARIMA,4672.985812259735,7630.025612668936,,0.31279664106619076,0.337009,Secunderabad
Time Series,Prophet,5964.812617757901,8817.461198853576,37.66560100918135,0.08225844585280018,0.453327,Secunderabad
Time Series,ETS,5633.333850919287,8224.025101598168,,0.20163381060587793,0.106072,Secunderabad
ML,Linear Regression,6528.31059235319,8178.903174222163,125.17662155035636,-3.580860070027624,0.001505,Vijaywada
ML,Ridge,4395.579281330769,5154.273337211724,66.83825985020403,-0.8192474883785479,0.001007,Vijaywada
ML,Lasso,6629.432743225391,8598.777693773432,107.38953561097875,-4.063261227624992,0.005,Vijaywada
ML,ElasticNet,4453.554645280657,5203.814954309866,68.63011922883983,-0.854387886623297,0.003,Vijaywada
ML,Decision Tree,4355.0,5044.507954201282,54.25134445458595,-0.7425871789607013,0.001606,Vijaywada
ML,Random Forest,3651.376666666667,4396.985149449943,49.11567050352412,-0.32393568963952646,0.11623,Vijaywada
ML,Gradient Boosting,3810.3954403856533,4431.689033146042,49.88489954671676,-0.34491689627536704,0.050585,Vijaywada
ML,AdaBoost,3926.0801587301594,4622.798082088565,52.086025427063035,-0.4634124346116619,0.120724,Vijaywada
ML,Extra Trees,3841.7325000000005,4568.77755475594,49.55608293930641,-0.429410339588326,0.072803,Vijaywada
ML,XGBoost,3983.3281860351562,4637.490898774341,53.10263198286375,-0.47272965765105,0.041545,Vijaywada
ML,LightGBM,4000.6111111111113,5142.995079609633,49.582855427933865,-0.8112946723603136,0.009619,Vijaywada
ML,CatBoost,3873.1136310063594,4614.703052488644,49.43098421522527,-0.45829172865957557,0.617851,Vijaywada
ML,SVR,4517.416129656027,5691.068684710537,52.80236170462773,-1.2179132029392745,0.001007,Vijaywada
ML,KNN,3531.8999999999996,4464.9035652146695,52.3955053015452,-0.3651521537082061,0.002516,Vijaywada
Deep Learning,LSTM,7160.424511266562,7760.775996942777,99.99868300192594,-5.72361589053601,3.62183,Vijaywada
Deep Learning,GRU,7160.460184079905,7760.823769252976,99.99867624644287,-5.723698666704966,4.863453,Vijaywada
Deep Learning,Feed-Forward NN,7537.146909369777,8449.383510370028,99.70742651005978,-3.888852535993033,10.505708,Vijaywada
Deep Learning,Transformer,7537.2222885290785,8449.504738022773,99.70265997665066,-3.888992822765071,10.05573,Vijaywada
Deep Learning,TCN,7529.324259916942,8442.284503248597,99.57450841563718,-3.8806409500768373,9.902029,Vijaywada
Time Series,ARIMA,4000.586644296965,5126.636987675979,,-0.799790790289798,0.059344,Vijaywada
Time Series,SARIMA,2788.552931183669,3535.5653001852484,,0.1439983185011786,0.331705,Vijaywada
Time Series,Prophet,4237.318972865008,5056.1124674166995,65.1138449396215,-0.7506137835721218,2.139058,Vijaywada
Time Series,ETS,3367.3751174348486,4082.644728693079,,-0.14140578847144725,0.011533,Vijaywada
Time Series,TimeGPT,3327.887666666666,4177.620577362242,46.84087557137339,-0.1951292603734225,1.893064,Vijaywada
