"Temperature threshold","2025","2024","2023","2022","2021"
"30 °C or warmer (days)","163","202","192","169","200"
"25 °C or warmer (days)","279","356","349","344","353"
"20 °C or warmer (days)","291","366","363","365","365"
"0 °C or colder (days)","0","0","0","0","0"
