"Number of Days","2025","2024","2023","2022","2021"
"30 °C or warmer","254","290","252","265","283"
"25 °C or warmer","291","353","338","358","361"
"20 °C or warmer","291","361","341","364","365"
"0 °C or colder","0","0","0","0","0"
